# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.72178833e-01   8.78004864e-04   1.94808822e+00   3.04636455e-03   1.49307268e+00   2.80346991e-03   2.92249872e+00   1.02711531e-02
  2.00000000e+00   9.60447703e-01   1.11440545e-03   1.92210010e+00   4.06410362e-03   1.33624949e+00   3.21278474e-03   2.88407027e+00   1.46852433e-02
  3.00000000e+00   9.42529516e-01   1.37695824e-03   1.88787673e+00   5.58964195e-03   1.20793375e+00   3.58806659e-03   2.82564512e+00   2.12238585e-02
  4.00000000e+00   9.14883269e-01   1.69928184e-03   1.83253031e+00   7.58737545e-03   1.10014761e+00   4.04652764e-03   2.73439573e+00   3.21671944e-02
  5.00000000e+00   8.73798285e-01   2.03625508e-03   1.74964844e+00   1.02956080e-02   1.00011896e+00   4.65723814e-03   2.59339500e+00   4.99224252e-02
  6.00000000e+00   8.15546668e-01   2.50468855e-03   1.64115741e+00   1.35236570e-02   9.05862267e-01   5.02413248e-03   2.48478491e+00   7.11047236e-02
  7.00000000e+00   7.30083707e-01   2.96077306e-03   1.47101114e+00   1.78079566e-02   7.90446983e-01   5.94194841e-03   2.24642245e+00   1.03450090e-01
  8.00000000e+00   6.18738225e-01   3.19558216e-03   1.24332593e+00   2.29908376e-02   6.54055828e-01   6.54921608e-03   1.71829570e+00   1.39002419e-01
  9.00000000e+00   4.79481171e-01   3.22576435e-03   9.67764045e-01   2.72890857e-02   5.01990739e-01   6.81640706e-03   1.40039566e+00   1.85151529e-01
  1.00000000e+01   3.02312078e-01   2.92581414e-03   5.95487789e-01   2.83094357e-02   3.05547495e-01   6.80449957e-03   7.40153166e-01   2.10384785e-01
  1.10000000e+01   1.05641457e-01   1.80534189e-03   2.16033330e-01   2.00736811e-02   1.06903096e-01   4.95737641e-03   1.99078013e-01   1.69702502e-01
