# observable  mean  sigma_blocking
y  -5.19541363e-05  4.47150550e-04
y2  5.04044857e-01  3.36577886e-04
y3  -1.06612884e-04  7.60699952e-04
A  -2.86816793e-05  3.27392873e-04
E  5.04121615e-01  6.43293784e-04
