# corr  xi  xi_err  DeltaE  DeltaE_err
yc  5.62734458e+00  5.72804986e-03  8.52977800e-01  8.68242437e-04
y2c  2.64709626e+00  4.73790458e-03  1.81330769e+00  3.24554831e-03
y3c  4.83630507e+00  1.08128417e-02  9.92493222e-01  2.21898163e-03
Ac  1.71436486e+00  6.77220898e-03  2.79987074e+00  1.10602534e-02
