# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.10819992e-01   3.30701407e-04   3.37126749e-01   6.67041026e-04   1.35398885e+00   4.08311947e-03   4.15925640e-01   1.96033259e-03
  2.00000000e+00   3.35498634e-01   3.17521526e-04   2.24664293e-01   5.51459083e-04   9.92030065e-01   3.29259881e-03   2.26252720e-01   1.43709538e-03
  3.00000000e+00   2.74657431e-01   3.05992509e-04   1.50531104e-01   4.62523999e-04   7.50971802e-01   2.70830868e-03   1.24064879e-01   1.06178870e-03
  4.00000000e+00   2.25690434e-01   2.96716772e-04   1.01581566e-01   3.94119184e-04   5.83891536e-01   2.26260575e-03   6.88636603e-02   7.99056164e-04
  5.00000000e+00   1.86524690e-01   2.90280732e-04   6.93443688e-02   3.43345814e-04   4.64293931e-01   1.93514913e-03   3.89571726e-02   6.31848955e-04
  6.00000000e+00   1.55480809e-01   2.85709509e-04   4.81622183e-02   3.09142685e-04   3.76967775e-01   1.70584981e-03   2.26956308e-02   5.34211810e-04
  7.00000000e+00   1.31186078e-01   2.88657265e-04   3.42151005e-02   2.85489195e-04   3.12135817e-01   1.52804800e-03   1.35245860e-02   4.54807206e-04
  8.00000000e+00   1.12675948e-01   2.97107866e-04   2.51839391e-02   2.72800768e-04   2.64743637e-01   1.41345420e-03   8.46978512e-03   4.03699979e-04
  9.00000000e+00   9.90487535e-02   3.07622606e-04   1.94370348e-02   2.71306246e-04   2.31019084e-01   1.35967999e-03   5.92113323e-03   3.80863783e-04
  1.00000000e+01   8.96327063e-02   3.19575695e-04   1.58879794e-02   2.78944172e-04   2.08079231e-01   1.34642027e-03   4.42283374e-03   3.86306955e-04
  1.10000000e+01   8.41615863e-02   3.32609058e-04   1.40342802e-02   2.94269167e-04   1.95246566e-01   1.38044972e-03   3.79082783e-03   4.17484787e-04
  1.20000000e+01   8.23295390e-02   3.38658997e-04   1.34166439e-02   3.05593205e-04   1.90946202e-01   1.41199038e-03   3.63682647e-03   4.48224563e-04
