# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58694447e-04   3.37789026e-04   7.71682382e-04   3.40125511e-04   6.38466708e-04
  2.00000000e+00   4.60026724e-04   3.38940996e-04   7.73051784e-04   3.39855327e-04   6.38610752e-04
  4.00000000e+00   4.59907098e-04   3.39295455e-04   7.72629688e-04   3.39281298e-04   6.38577330e-04
  8.00000000e+00   4.59829321e-04   3.40133493e-04   7.71963962e-04   3.39323564e-04   6.37697439e-04
  1.60000000e+01   4.58582252e-04   3.39841823e-04   7.69224693e-04   3.39256782e-04   6.36635460e-04
  3.20000000e+01   4.58430405e-04   3.39991680e-04   7.68185139e-04   3.38387318e-04   6.34119011e-04
  6.40000000e+01   4.60692138e-04   3.41018134e-04   7.72359549e-04   3.38308394e-04   6.33588497e-04
  1.28000000e+02   4.59702543e-04   3.41268060e-04   7.68516670e-04   3.34776157e-04   6.33012445e-04
  2.56000000e+02   4.56883176e-04   3.41394650e-04   7.67114440e-04   3.29593192e-04   6.39441951e-04
  5.12000000e+02   4.47150550e-04   3.36577886e-04   7.60699952e-04   3.27392873e-04   6.43293784e-04
  1.02400000e+03   4.64359575e-04   3.42459724e-04   7.85635346e-04   3.23875069e-04   6.36426528e-04
  2.04800000e+03   4.61996506e-04   3.47532771e-04   7.90650971e-04   3.22330071e-04   6.47514295e-04
  4.09600000e+03   4.44201575e-04   3.45576128e-04   7.58150886e-04   3.29388457e-04   6.19209316e-04
  8.19200000e+03   4.20799154e-04   3.67442776e-04   7.38320840e-04   3.42934599e-04   5.96371821e-04
  1.63840000e+04   4.33414765e-04   3.82929977e-04   7.35884528e-04   3.32510276e-04   6.00790675e-04
  3.27680000e+04   5.07923954e-04   3.76321980e-04   8.58505055e-04   3.78004842e-04   6.46250181e-04
  6.55360000e+04   4.57586912e-04   3.10064419e-04   7.31557631e-04   3.63011145e-04   5.55425039e-04
  1.31072000e+05   2.64435815e-04   2.87513954e-04   3.19590364e-04   3.27078410e-04   4.90194485e-04
