# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   3.54357705e-01   2.24980443e-04   2.51473039e-01   4.01083470e-04   1.04639138e+00   2.35598915e-03   2.68327894e-01   1.03243789e-03
  2.00000000e+00   2.54340099e-01   2.08022499e-04   1.29546680e-01   2.92055544e-04   6.57352976e-01   1.65802863e-03   9.89317212e-02   6.09768910e-04
  3.00000000e+00   1.82621552e-01   1.92370622e-04   6.69497660e-02   2.21273180e-04   4.38036862e-01   1.22682879e-03   3.68645139e-02   3.94336438e-04
  4.00000000e+00   1.31129555e-01   1.82490946e-04   3.46030131e-02   1.77516693e-04   3.01446210e-01   9.42224219e-04   1.34402173e-02   2.69583770e-04
  5.00000000e+00   9.41883388e-02   1.76491361e-04   1.79020891e-02   1.44057328e-04   2.12031130e-01   7.57153051e-04   5.14645903e-03   2.14102002e-04
  6.00000000e+00   6.76784033e-02   1.72858660e-04   9.42502557e-03   1.32774361e-04   1.50939427e-01   6.55919932e-04   2.00335152e-03   1.81321923e-04
  7.00000000e+00   4.85972218e-02   1.71625274e-04   4.88936308e-03   1.24715801e-04   1.08206704e-01   6.03047550e-04   7.95863571e-04   1.77657641e-04
  8.00000000e+00   3.50605318e-02   1.74105857e-04   2.56599997e-03   1.21586686e-04   7.78013855e-02   5.71209957e-04   2.64443286e-04   1.64415998e-04
  9.00000000e+00   2.53050057e-02   1.78710142e-04   1.35925934e-03   1.25484583e-04   5.59969000e-02   5.65199741e-04   3.52871273e-05   1.66873359e-04
  1.00000000e+01   1.84357440e-02   1.84672758e-04   8.18908158e-04   1.30441255e-04   4.08853311e-02   5.55732857e-04   1.63191901e-04   1.64253421e-04
  1.10000000e+01   1.36598914e-02   1.91879307e-04   4.86385641e-04   1.33162209e-04   3.03668885e-02   5.66399293e-04   1.73313596e-04   1.61122647e-04
  1.20000000e+01   1.03862791e-02   2.02016048e-04   3.47278353e-04   1.34426265e-04   2.32193759e-02   5.91901178e-04   1.30496271e-04   1.58711910e-04
  1.30000000e+01   8.20106435e-03   2.15828791e-04   2.02885116e-04   1.37507885e-04   1.83467496e-02   6.31638476e-04   1.25179405e-04   1.67177416e-04
  1.40000000e+01   7.01798629e-03   2.30574222e-04   1.25503615e-04   1.54493916e-04   1.57373857e-02   6.89931317e-04  -1.21473498e-05   1.85059389e-04
  1.50000000e+01   6.62543533e-03   2.40635936e-04   1.16601963e-04   1.75699868e-04   1.50117135e-02   7.35526920e-04  -9.27691695e-05   2.24632743e-04
