# k  sigma_yc_n1  sigma_yc_n3  sigma_yc_n7  sigma_y2c_n1  sigma_y2c_n3  sigma_y2c_n7  sigma_y3c_n1  sigma_y3c_n3  sigma_y3c_n7  sigma_Ac_n1  sigma_Ac_n3  sigma_Ac_n7
  1.00000000e+00   2.07458144e-04   1.83397053e-04   1.70227269e-04   2.94685650e-04   1.76731154e-04   1.24878685e-04   1.67032897e-03   9.41079256e-04   5.60310572e-04   6.25378961e-04   2.75179025e-04   1.67513479e-04
  2.00000000e+00   2.08024087e-04   1.83702235e-04   1.70209513e-04   2.94928108e-04   1.77025337e-04   1.24922329e-04   1.67183843e-03   9.42217397e-04   5.60178224e-04   6.25556311e-04   2.75294738e-04   1.67563678e-04
  4.00000000e+00   2.08321911e-04   1.83918605e-04   1.70234929e-04   2.95254348e-04   1.77165028e-04   1.24806220e-04   1.67470501e-03   9.43471711e-04   5.60314331e-04   6.27009944e-04   2.75330510e-04   1.67493867e-04
  8.00000000e+00   2.08570605e-04   1.83640343e-04   1.69512179e-04   2.95676145e-04   1.77003224e-04   1.24678706e-04   1.67702749e-03   9.43951850e-04   5.59568287e-04   6.26596392e-04   2.74745446e-04   1.67374355e-04
  1.60000000e+01   2.08807263e-04   1.83673744e-04   1.69342624e-04   2.95515365e-04   1.76982254e-04   1.24189402e-04   1.67480380e-03   9.44180947e-04   5.60052434e-04   6.24672309e-04   2.73583135e-04   1.67216553e-04
  3.20000000e+01   2.09013129e-04   1.84386115e-04   1.70166100e-04   2.95751851e-04   1.76670255e-04   1.24574474e-04   1.67669679e-03   9.43933854e-04   5.61864135e-04   6.24998436e-04   2.73356866e-04   1.67405587e-04
  6.40000000e+01   2.07748112e-04   1.84567776e-04   1.70710279e-04   2.97064960e-04   1.77408271e-04   1.24653607e-04   1.68280919e-03   9.47882920e-04   5.65447132e-04   6.25626404e-04   2.72572759e-04   1.68063483e-04
  1.28000000e+02   2.07322206e-04   1.83994179e-04   1.70892879e-04   2.95798840e-04   1.77393542e-04   1.22553269e-04   1.67725600e-03   9.50379495e-04   5.67865833e-04   6.22625183e-04   2.73671078e-04   1.68570155e-04
  2.56000000e+02   2.06081637e-04   1.83558877e-04   1.72575740e-04   2.96188080e-04   1.77819766e-04   1.22112147e-04   1.68365425e-03   9.51658381e-04   5.59936849e-04   6.30239656e-04   2.76066234e-04   1.68765460e-04
  5.12000000e+02   2.05880541e-04   1.84063135e-04   1.71993984e-04   2.93180230e-04   1.78605440e-04   1.22774603e-04   1.66766413e-03   9.46920453e-04   5.56168412e-04   6.22260841e-04   2.72792082e-04   1.65111209e-04
  1.02400000e+03   2.02438708e-04   1.81971935e-04   1.74114296e-04   2.93168544e-04   1.82466805e-04   1.21209597e-04   1.65292739e-03   9.50005928e-04   5.61378510e-04   6.10144005e-04   2.75375156e-04   1.64717709e-04
  2.04800000e+03   2.01427694e-04   1.83546080e-04   1.75899314e-04   2.90627751e-04   1.85256103e-04   1.18965977e-04   1.66739676e-03   9.61231695e-04   5.71423098e-04   6.19477965e-04   2.68012168e-04   1.68278241e-04
  4.09600000e+03   1.99336628e-04   1.78918815e-04   1.77399522e-04   2.90500262e-04   1.82218720e-04   1.21671762e-04   1.63598637e-03   9.37333635e-04   5.69553968e-04   6.06017387e-04   2.64953603e-04   1.65013426e-04
  8.19200000e+03   1.85900787e-04   1.66946801e-04   1.62400416e-04   2.85837992e-04   1.74934312e-04   1.16271560e-04   1.63569290e-03   8.88547146e-04   5.52247163e-04   6.14489237e-04   2.79745127e-04   1.77383237e-04
  1.63840000e+04   1.81058525e-04   1.58659593e-04   1.50743414e-04   2.74270095e-04   1.63325993e-04   1.10180723e-04   1.55877849e-03   8.53969687e-04   5.63075564e-04   5.48563506e-04   2.74192165e-04   1.64535287e-04
  3.27680000e+04   1.65379313e-04   1.61478024e-04   1.49809819e-04   2.61930608e-04   1.54060336e-04   1.17865059e-04   1.46694801e-03   8.08328444e-04   5.76257029e-04   5.20703277e-04   2.38481066e-04   1.46288543e-04
  6.55360000e+04   2.03505865e-04   2.01886257e-04   1.30840316e-04   2.62548049e-04   1.70368249e-04   9.36743357e-05   1.41901558e-03   8.50452153e-04   4.98009436e-04   4.71919119e-04   2.35749032e-04   1.52672685e-04
  1.31072000e+05   1.65641418e-04   1.72765567e-04   9.40031683e-05   2.96342474e-04   1.90054452e-04   1.09282676e-04   1.58892077e-03   9.00944997e-04   6.28906717e-04   5.82689149e-04   2.33307670e-04   1.95227805e-04
