# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24563764e-04   2.31643131e-04   5.35626183e-04   2.35232809e-04   3.27654073e-04
  2.00000000e+00   3.26237849e-04   2.32304834e-04   5.37899012e-04   2.35269232e-04   3.27597776e-04
  4.00000000e+00   3.26873553e-04   2.32638731e-04   5.38412706e-04   2.35304893e-04   3.27721803e-04
  8.00000000e+00   3.26801344e-04   2.32787423e-04   5.38633997e-04   2.34782788e-04   3.27888579e-04
  1.60000000e+01   3.26499903e-04   2.33200281e-04   5.37886497e-04   2.34289029e-04   3.27687531e-04
  3.20000000e+01   3.28114971e-04   2.33024502e-04   5.39249996e-04   2.32944918e-04   3.28405247e-04
  6.40000000e+01   3.29344535e-04   2.31310940e-04   5.39938469e-04   2.32674679e-04   3.27512929e-04
  1.28000000e+02   3.26654259e-04   2.30985776e-04   5.38653422e-04   2.34481654e-04   3.25835463e-04
  2.56000000e+02   3.28308568e-04   2.31005440e-04   5.39366652e-04   2.35076947e-04   3.27964661e-04
  5.12000000e+02   3.32546425e-04   2.31858694e-04   5.47477370e-04   2.33486270e-04   3.25651647e-04
  1.02400000e+03   3.34650792e-04   2.29691784e-04   5.62495829e-04   2.35702211e-04   3.19430654e-04
  2.04800000e+03   3.30509873e-04   2.26268262e-04   5.62788732e-04   2.35948829e-04   3.30315137e-04
  4.09600000e+03   3.23481301e-04   2.21800176e-04   5.47529070e-04   2.39592031e-04   3.40628751e-04
  8.19200000e+03   3.19755398e-04   2.08475014e-04   5.50558235e-04   2.44166897e-04   3.66669742e-04
  1.63840000e+04   3.05264027e-04   2.00837829e-04   5.09119537e-04   2.55603262e-04   3.98785535e-04
  3.27680000e+04   3.03518710e-04   1.92211826e-04   5.14111622e-04   2.57620404e-04   3.31155830e-04
  6.55360000e+04   2.91307681e-04   2.17306003e-04   4.76705799e-04   2.11934138e-04   3.47238793e-04
  1.31072000e+05   3.60212325e-04   1.46274578e-04   5.97704439e-04   1.46635464e-04   4.32138798e-04
