# observable  mean  sigma_blocking
y  2.74255627e-07  3.32546425e-04
y2  4.93649302e-01  2.31858694e-04
y3  -6.09805785e-04  5.47477370e-04
A  -6.10217169e-04  2.33486270e-04
E  4.93200279e-01  3.25651647e-04
