# observable  mean  sigma_blocking
y  -1.61413145e-03  7.36863279e-04
y2  1.85867659e-01  4.23019208e-04
y3  -1.33039754e-03  5.20134983e-04
A  1.09079964e-03  7.47843908e-04
E  1.85769061e-01  1.95394107e-04
