# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   7.24961417e-04   4.27978303e-04   5.16567122e-04   7.54842355e-04   1.98386576e-04
  2.00000000e+00   7.25861099e-04   4.28587955e-04   5.16265569e-04   7.56730491e-04   1.98645302e-04
  4.00000000e+00   7.24821321e-04   4.27067520e-04   5.17292742e-04   7.54211774e-04   1.97998308e-04
  8.00000000e+00   7.21211284e-04   4.26294353e-04   5.18008453e-04   7.47772571e-04   1.97595561e-04
  1.60000000e+01   7.20172846e-04   4.24958562e-04   5.17215635e-04   7.48276173e-04   1.97222521e-04
  3.20000000e+01   7.20110659e-04   4.28009824e-04   5.22985096e-04   7.42770172e-04   1.98538271e-04
  6.40000000e+01   7.11458600e-04   4.24057770e-04   5.15676921e-04   7.32648754e-04   1.96780586e-04
  1.28000000e+02   6.94232635e-04   4.14316546e-04   5.09349476e-04   7.11341750e-04   1.92029323e-04
  2.56000000e+02   7.06698922e-04   4.19497280e-04   5.09582648e-04   7.18705086e-04   1.94077411e-04
  5.12000000e+02   7.36863279e-04   4.23019208e-04   5.20134983e-04   7.47843908e-04   1.95394107e-04
  1.02400000e+03   7.66264415e-04   4.06138051e-04   5.43927171e-04   7.41155604e-04   1.86157987e-04
  2.04800000e+03   7.60326010e-04   3.75058870e-04   5.06320534e-04   7.66067992e-04   1.72006298e-04
  4.09600000e+03   7.34916210e-04   3.38082804e-04   4.69024097e-04   7.52320262e-04   1.58063633e-04
  8.19200000e+03   7.82404273e-04   3.93624675e-04   4.96510561e-04   8.35479318e-04   1.85309554e-04
  1.63840000e+04   9.34835770e-04   4.26450715e-04   5.30767050e-04   9.76708124e-04   2.06938063e-04
