# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   9.99630441e-04   7.20552453e-04   1.62228042e-03   7.40338584e-04   6.70647180e-04
  2.00000000e+00   1.00539241e-03   7.19282506e-04   1.62875109e-03   7.39027419e-04   6.71849279e-04
  4.00000000e+00   9.97121159e-04   7.25468698e-04   1.61559020e-03   7.40887714e-04   6.76027645e-04
  8.00000000e+00   1.00525130e-03   7.22172769e-04   1.62717003e-03   7.44436166e-04   6.71108095e-04
  1.60000000e+01   1.01616725e-03   7.16955138e-04   1.63668112e-03   7.40201379e-04   6.60921739e-04
  3.20000000e+01   1.01547197e-03   7.24524744e-04   1.63725103e-03   7.28553559e-04   6.66693752e-04
  6.40000000e+01   1.01451010e-03   7.38556627e-04   1.63255338e-03   7.32547958e-04   6.74850466e-04
  1.28000000e+02   9.88113050e-04   7.38159247e-04   1.58304990e-03   7.32933540e-04   6.83026754e-04
  2.56000000e+02   1.02878672e-03   7.13894681e-04   1.63347910e-03   7.10615384e-04   6.87829425e-04
  5.12000000e+02   9.79682037e-04   7.39733310e-04   1.56511061e-03   6.51678693e-04   7.23391587e-04
  1.02400000e+03   1.01668189e-03   8.34038754e-04   1.51302491e-03   7.73167418e-04   7.41432592e-04
  2.04800000e+03   9.29942280e-04   9.52554780e-04   1.51617636e-03   8.22445224e-04   7.05937697e-04
  4.09600000e+03   1.16872844e-03   1.03781400e-03   1.59813982e-03   6.14747410e-04   6.68484148e-04
  8.19200000e+03   1.07886187e-03   1.22381740e-03   1.66982344e-03   4.27068433e-04   6.31982013e-04
