# k  sigma_yc_n1  sigma_yc_n4  sigma_yc_n9  sigma_y2c_n1  sigma_y2c_n4  sigma_y2c_n9  sigma_y3c_n1  sigma_y3c_n4  sigma_y3c_n9  sigma_Ac_n1  sigma_Ac_n4  sigma_Ac_n9
  1.00000000e+00   5.85864551e-04   5.13963752e-04   5.05335205e-04   6.30182984e-04   4.02320069e-04   3.85347912e-04   3.28691453e-03   1.67170761e-03   1.51685111e-03   1.03047732e-03   5.53715321e-04   5.37426989e-04
  2.00000000e+00   5.85882269e-04   5.15833489e-04   5.04557028e-04   6.33336103e-04   4.00883826e-04   3.83978624e-04   3.31496715e-03   1.67729380e-03   1.51390072e-03   1.04629544e-03   5.52323876e-04   5.37106810e-04
  4.00000000e+00   5.93894041e-04   5.17625767e-04   5.04125696e-04   6.31982523e-04   3.97995903e-04   3.83538150e-04   3.32289860e-03   1.69304080e-03   1.51038318e-03   1.04743448e-03   5.53679372e-04   5.39108998e-04
  8.00000000e+00   5.91111461e-04   5.19404679e-04   5.02944602e-04   6.30126668e-04   3.98662371e-04   3.85457331e-04   3.30201098e-03   1.67275989e-03   1.51167513e-03   1.04203083e-03   5.55348148e-04   5.34571712e-04
  1.60000000e+01   5.86527970e-04   5.23259973e-04   4.96592119e-04   6.31508544e-04   3.98216952e-04   3.87107722e-04   3.30572546e-03   1.68720653e-03   1.50083499e-03   1.03964571e-03   5.52610818e-04   5.31584640e-04
  3.20000000e+01   5.87987949e-04   5.20270977e-04   5.01095332e-04   6.34241253e-04   4.04218485e-04   3.90824591e-04   3.31632043e-03   1.66553662e-03   1.48150781e-03   1.04771424e-03   5.57708072e-04   5.18466126e-04
  6.40000000e+01   5.95714353e-04   5.28334588e-04   4.94725444e-04   6.48457735e-04   4.07959107e-04   3.86404928e-04   3.42327752e-03   1.66256668e-03   1.48484204e-03   1.07186234e-03   5.60301417e-04   5.30344230e-04
  1.28000000e+02   5.98284961e-04   5.38221184e-04   5.02371279e-04   6.48860833e-04   4.20448765e-04   3.84786358e-04   3.44649166e-03   1.66510943e-03   1.50887861e-03   1.04765572e-03   5.43040427e-04   5.38381128e-04
  2.56000000e+02   6.07946816e-04   5.50877565e-04   5.03391188e-04   6.09124385e-04   4.09892490e-04   3.91523639e-04   3.29283927e-03   1.69706964e-03   1.46595550e-03   1.05670518e-03   5.45310555e-04   5.54065248e-04
  5.12000000e+02   6.34632600e-04   5.71119129e-04   4.82555181e-04   5.82726269e-04   4.03513478e-04   4.16742961e-04   3.21374196e-03   1.67398322e-03   1.38172729e-03   1.00032202e-03   5.19246286e-04   5.87670126e-04
  1.02400000e+03   6.73619004e-04   5.72137379e-04   5.11563777e-04   5.90325107e-04   4.47249663e-04   3.72187601e-04   3.42270654e-03   1.64939124e-03   1.47095494e-03   9.92055156e-04   5.13266326e-04   5.59256508e-04
  2.04800000e+03   7.61596142e-04   5.43916133e-04   5.79248192e-04   5.25794637e-04   5.06047909e-04   3.38411188e-04   3.34235464e-03   1.81792523e-03   1.35413328e-03   9.45160179e-04   4.98769248e-04   4.47316611e-04
  4.09600000e+03   8.91426734e-04   5.23291997e-04   4.74871925e-04   5.33839014e-04   6.17656904e-04   2.60562846e-04   3.58731770e-03   1.59392631e-03   8.75182552e-04   1.03240596e-03   4.80780276e-04   5.46407598e-04
  8.19200000e+03   9.28963902e-04   6.24087750e-04   6.32755067e-04   5.41363767e-04   6.08126744e-04   1.83555475e-04   3.64865480e-03   1.43554826e-03   1.16624253e-03   8.78548030e-04   3.67960766e-04   7.13457425e-04
