# observable  mean  sigma_blocking
y  -2.65857898e-04  9.79682037e-04
y2  4.82328907e-01  7.39733310e-04
y3  -7.55904394e-04  1.56511061e-03
A  -3.57117547e-04  6.51678693e-04
E  4.81578953e-01  7.23391587e-04
