# lag  C_{y^2}
# # fit_params: A=9.87318748e-02  tau=3.73093017e-01
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   6.74837039e-03
  2.00000000e+00   1.02221610e-03
  3.00000000e+00  -4.13937172e-03
  4.00000000e+00   9.05907648e-04
  5.00000000e+00  -1.93041769e-04
  6.00000000e+00  -1.20660246e-03
  7.00000000e+00  -1.13153511e-02
  8.00000000e+00   3.43938224e-04
  9.00000000e+00   6.55599972e-03
  1.00000000e+01  -3.60323528e-03
  1.10000000e+01   6.37851737e-03
  1.20000000e+01   1.41563798e-03
  1.30000000e+01  -2.35801699e-03
  1.40000000e+01   2.93228609e-03
  1.50000000e+01   8.01049224e-03
  1.60000000e+01   7.80351306e-03
  1.70000000e+01   7.55535326e-03
  1.80000000e+01   8.70541050e-04
  1.90000000e+01  -6.50896206e-03
  2.00000000e+01   2.25587238e-03
  2.10000000e+01  -2.40098938e-03
  2.20000000e+01  -4.47641984e-03
  2.30000000e+01  -2.23936862e-04
  2.40000000e+01   3.23577627e-03
  2.50000000e+01   2.88699736e-03
  2.60000000e+01   2.41148129e-03
  2.70000000e+01  -1.25094915e-03
  2.80000000e+01  -4.10433681e-03
  2.90000000e+01  -2.96012770e-03
  3.00000000e+01  -4.62027643e-03
  3.10000000e+01   4.03310504e-03
  3.20000000e+01  -5.39052065e-04
  3.30000000e+01  -8.43096949e-03
  3.40000000e+01   7.73292305e-03
  3.50000000e+01  -1.78606852e-03
  3.60000000e+01   2.12001714e-03
  3.70000000e+01  -1.54827387e-03
  3.80000000e+01   7.09584881e-03
  3.90000000e+01  -3.07043005e-03
  4.00000000e+01   7.76880268e-03
  4.10000000e+01  -8.61553722e-03
  4.20000000e+01   2.87240952e-03
  4.30000000e+01  -6.36326245e-03
  4.40000000e+01  -3.99078292e-03
  4.50000000e+01  -7.13077046e-03
  4.60000000e+01   6.94913698e-04
  4.70000000e+01   3.90634580e-04
  4.80000000e+01  -4.09506286e-03
  4.90000000e+01   1.89251598e-03
