# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   3.23783668e-01   2.13591754e-04   2.09824150e-01   3.61903835e-04   9.03807399e-01   2.12636325e-03   2.05191707e-01   9.46534726e-04
  2.00000000e+00   2.14171612e-01   1.99103201e-04   9.17301447e-02   2.50803005e-04   5.20996999e-01   1.37660791e-03   5.92178991e-02   4.86697949e-04
  3.00000000e+00   1.41564955e-01   1.83987678e-04   3.99695158e-02   1.87040400e-04   3.21825512e-01   9.78214781e-04   1.68672842e-02   3.01632482e-04
  4.00000000e+00   9.36835531e-02   1.75299546e-04   1.74389526e-02   1.51325485e-04   2.06406854e-01   7.44727287e-04   4.88619509e-03   2.10332663e-04
  5.00000000e+00   6.20526252e-02   1.70393475e-04   7.45391661e-03   1.33513552e-04   1.35021463e-01   6.15879099e-04   1.36276515e-03   1.90428351e-04
  6.00000000e+00   4.13007523e-02   1.72306234e-04   3.31383367e-03   1.31151672e-04   8.98654550e-02   5.72819070e-04   5.75862137e-04   1.85660666e-04
  7.00000000e+00   2.76113278e-02   1.76746272e-04   1.28385924e-03   1.28262048e-04   5.98976201e-02   5.57465987e-04   1.98917406e-04   1.73409763e-04
  8.00000000e+00   1.87123882e-02   1.80581637e-04   4.76818899e-04   1.28637905e-04   4.03334779e-02   5.43844387e-04  -3.59023942e-05   1.64133465e-04
  9.00000000e+00   1.30672606e-02   1.87880833e-04   2.77392101e-04   1.28292430e-04   2.81061865e-02   5.60639288e-04   1.14070939e-04   1.61064685e-04
  1.00000000e+01   9.46626723e-03   2.01067535e-04   1.90912886e-04   1.29720325e-04   2.02831839e-02   6.03732587e-04  -1.55894869e-05   1.60608631e-04
  1.10000000e+01   7.53114147e-03   2.17158634e-04   2.91284217e-04   1.43805677e-04   1.59965333e-02   6.42425932e-04   1.45356096e-04   1.78141046e-04
  1.20000000e+01   6.89946248e-03   2.30049582e-04   2.88627432e-04   1.73020547e-04   1.47218368e-02   7.13323914e-04   6.05062076e-05   2.30204226e-04
