# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24604620e-04   2.31737223e-04   5.32423967e-04   2.37321335e-04   2.77413224e-04
  2.00000000e+00   3.23991985e-04   2.32102840e-04   5.31340805e-04   2.37280196e-04   2.77492065e-04
  4.00000000e+00   3.23989973e-04   2.32249141e-04   5.31670418e-04   2.37685956e-04   2.77713392e-04
  8.00000000e+00   3.23141036e-04   2.32304002e-04   5.29856510e-04   2.37928399e-04   2.77448696e-04
  1.60000000e+01   3.22735936e-04   2.32184407e-04   5.29062358e-04   2.37565237e-04   2.77775667e-04
  3.20000000e+01   3.23777301e-04   2.32983600e-04   5.30702195e-04   2.37958399e-04   2.78476420e-04
  6.40000000e+01   3.24760117e-04   2.35122582e-04   5.34487155e-04   2.39859069e-04   2.79971009e-04
  1.28000000e+02   3.25062868e-04   2.36568546e-04   5.34012243e-04   2.38262458e-04   2.78869651e-04
  2.56000000e+02   3.24381051e-04   2.38257654e-04   5.34415901e-04   2.37147596e-04   2.79361135e-04
  5.12000000e+02   3.21888864e-04   2.35719789e-04   5.34012959e-04   2.36369921e-04   2.76565720e-04
  1.02400000e+03   3.25281582e-04   2.30021902e-04   5.40293757e-04   2.36775796e-04   2.78450198e-04
  2.04800000e+03   3.29010805e-04   2.31873163e-04   5.50071611e-04   2.29132374e-04   2.79268749e-04
  4.09600000e+03   3.20866459e-04   2.29208061e-04   5.39662371e-04   2.29741349e-04   2.80262267e-04
  8.19200000e+03   3.21015937e-04   2.40074013e-04   5.53227397e-04   2.34594900e-04   2.84277782e-04
  1.63840000e+04   3.42321570e-04   2.39768487e-04   5.82139800e-04   2.54876636e-04   2.96441212e-04
  3.27680000e+04   3.80406057e-04   1.90896605e-04   6.39696887e-04   2.79686267e-04   3.30932064e-04
  6.55360000e+04   2.92028928e-04   1.77928196e-04   6.28340107e-04   2.92339784e-04   3.80652158e-04
  1.31072000e+05   2.64224693e-04   1.61095811e-04   6.89083419e-04   3.26556469e-04   3.89892265e-04
