# observable  mean  sigma_blocking
y  -4.59613349e-06  3.21888864e-04
y2  4.89600935e-01  2.35719789e-04
y3  1.05337948e-04  5.34012959e-04
A  1.12232148e-04  2.36369921e-04
E  4.89693006e-01  2.76565720e-04
