# k  sigma_yc_n1  sigma_yc_n3  sigma_yc_n6  sigma_y2c_n1  sigma_y2c_n3  sigma_y2c_n6  sigma_y3c_n1  sigma_y3c_n3  sigma_y3c_n6  sigma_Ac_n1  sigma_Ac_n3  sigma_Ac_n6
  1.00000000e+00   2.00083297e-04   1.76403335e-04   1.71721993e-04   2.54196591e-04   1.52139313e-04   1.25412179e-04   1.41508822e-03   7.60184353e-04   5.46191924e-04   4.97892889e-04   2.21882715e-04   1.68813367e-04
  2.00000000e+00   2.00424685e-04   1.76269209e-04   1.71570516e-04   2.54509256e-04   1.52189111e-04   1.25326240e-04   1.41653333e-03   7.60344865e-04   5.45841779e-04   4.97927597e-04   2.22056791e-04   1.68856175e-04
  4.00000000e+00   2.00526967e-04   1.76253622e-04   1.71571323e-04   2.54511422e-04   1.52306943e-04   1.25320497e-04   1.41677203e-03   7.61210454e-04   5.46105270e-04   4.97730134e-04   2.22100076e-04   1.68865412e-04
  8.00000000e+00   2.00619752e-04   1.76437404e-04   1.71543777e-04   2.54360114e-04   1.52140443e-04   1.25566768e-04   1.41599106e-03   7.61454368e-04   5.45969926e-04   4.97116658e-04   2.21783240e-04   1.68683640e-04
  1.60000000e+01   2.00527571e-04   1.76181874e-04   1.71081748e-04   2.54539115e-04   1.51943044e-04   1.25654507e-04   1.41650419e-03   7.59807566e-04   5.44752781e-04   4.96348661e-04   2.21026244e-04   1.68195960e-04
  3.20000000e+01   2.01848589e-04   1.77097093e-04   1.71514710e-04   2.54498229e-04   1.51991915e-04   1.26162718e-04   1.41569456e-03   7.63257298e-04   5.47600932e-04   4.95570846e-04   2.20778587e-04   1.68059403e-04
  6.40000000e+01   2.03442423e-04   1.78234661e-04   1.72733911e-04   2.53014770e-04   1.51847788e-04   1.25954160e-04   1.41347085e-03   7.62293995e-04   5.49311675e-04   4.94507297e-04   2.20111792e-04   1.68068683e-04
  1.28000000e+02   2.04615342e-04   1.79088296e-04   1.71612169e-04   2.54037529e-04   1.51707212e-04   1.26764034e-04   1.41574615e-03   7.65079341e-04   5.43017577e-04   4.94714917e-04   2.18542636e-04   1.68420023e-04
  2.56000000e+02   2.06924800e-04   1.80398834e-04   1.71397971e-04   2.52045496e-04   1.52522327e-04   1.27072138e-04   1.40524725e-03   7.62309785e-04   5.42919233e-04   4.92302973e-04   2.17524931e-04   1.69879751e-04
  5.12000000e+02   2.04397924e-04   1.78532142e-04   1.69343970e-04   2.49424735e-04   1.52147663e-04   1.26566504e-04   1.38915346e-03   7.48505546e-04   5.34267004e-04   4.86176648e-04   2.17133510e-04   1.69489821e-04
  1.02400000e+03   1.99650847e-04   1.75363676e-04   1.73649230e-04   2.48007562e-04   1.49647871e-04   1.29149492e-04   1.38908858e-03   7.42570457e-04   5.23465848e-04   4.89393365e-04   2.19226034e-04   1.73033940e-04
  2.04800000e+03   1.93497798e-04   1.71425119e-04   1.75157211e-04   2.41441749e-04   1.48597204e-04   1.31981710e-04   1.35666269e-03   7.28139645e-04   5.35970646e-04   4.84021431e-04   2.16429176e-04   1.75400553e-04
  4.09600000e+03   1.91344642e-04   1.65544715e-04   1.71888254e-04   2.41467606e-04   1.54357595e-04   1.31903648e-04   1.33650166e-03   7.30642948e-04   5.29940227e-04   4.89863090e-04   2.21092436e-04   1.64996503e-04
  8.19200000e+03   1.98363434e-04   1.65658485e-04   1.69631380e-04   2.34850576e-04   1.46620756e-04   1.34612726e-04   1.33052861e-03   7.35620649e-04   4.89801425e-04   4.83489681e-04   2.11551290e-04   1.74405638e-04
  1.63840000e+04   2.00576060e-04   1.72254197e-04   1.73867248e-04   2.23388351e-04   1.36593893e-04   1.46847948e-04   1.29234973e-03   7.15303845e-04   5.31522782e-04   4.75328176e-04   2.24050895e-04   1.65950109e-04
  3.27680000e+04   1.69326312e-04   1.46730921e-04   1.51660188e-04   1.98544658e-04   1.30208223e-04   1.37655420e-04   1.18419765e-03   5.82474125e-04   5.38403601e-04   4.99788027e-04   2.17902036e-04   1.54792178e-04
  6.55360000e+04   1.53087505e-04   1.54516759e-04   1.71206608e-04   2.28202495e-04   1.29193718e-04   1.25715590e-04   1.43965954e-03   6.68601950e-04   6.22464559e-04   5.56496819e-04   1.89788555e-04   1.69892699e-04
  1.31072000e+05   2.06017251e-04   2.04613710e-04   2.33424150e-04   2.41441275e-04   1.57696743e-04   1.18024255e-04   1.22034552e-03   7.55029033e-04   8.01534065e-04   3.11906714e-04   8.44960261e-05   2.19481349e-04
