# observable  mean  sigma_blocking
y  -4.10819410e-04  3.22720400e-04
y2  3.12231946e-01  2.40492630e-04
y3  -7.92240231e-04  3.76623412e-04
A  -1.76011116e-04  2.85574282e-04
E  3.12395276e-01  9.48402896e-05
