# k  sigma_yc_n0  sigma_yc_n1  sigma_y2c_n0  sigma_y2c_n1  sigma_y3c_n0  sigma_y3c_n1  sigma_Ac_n0  sigma_Ac_n1
  1.00000000e+00   1.69856604e-04   2.29883937e-04   1.06564131e-04   1.41922093e-04   2.80280632e-04   3.32647569e-04   1.50114936e-04   2.03621483e-04
  2.00000000e+00   1.69917003e-04   2.29931919e-04   1.06620748e-04   1.42073400e-04   2.80409032e-04   3.32509913e-04   1.50211658e-04   2.03654714e-04
  4.00000000e+00   1.69862320e-04   2.29991943e-04   1.06630864e-04   1.41936869e-04   2.80565987e-04   3.32567780e-04   1.49925071e-04   2.03868852e-04
  8.00000000e+00   1.69624912e-04   2.30029075e-04   1.06565280e-04   1.41898495e-04   2.80048630e-04   3.32584143e-04   1.49844326e-04   2.04408619e-04
  1.60000000e+01   1.70071994e-04   2.29444566e-04   1.06433485e-04   1.42422688e-04   2.80388226e-04   3.32351382e-04   1.49440295e-04   2.04269069e-04
  3.20000000e+01   1.70421901e-04   2.28814843e-04   1.06321600e-04   1.42747012e-04   2.80512330e-04   3.30307601e-04   1.49332743e-04   2.04398276e-04
  6.40000000e+01   1.70688309e-04   2.28066041e-04   1.06983817e-04   1.42668561e-04   2.82609068e-04   3.32082579e-04   1.48184952e-04   2.04405109e-04
  1.28000000e+02   1.71923360e-04   2.25534787e-04   1.07486571e-04   1.42925936e-04   2.81401193e-04   3.30418908e-04   1.46668142e-04   2.03993818e-04
  2.56000000e+02   1.71265601e-04   2.24153449e-04   1.06957429e-04   1.41660390e-04   2.80322203e-04   3.29890779e-04   1.45531626e-04   2.03351681e-04
  5.12000000e+02   1.73637038e-04   2.23230964e-04   1.07196325e-04   1.41139452e-04   2.82747313e-04   3.30986347e-04   1.46879856e-04   2.05337609e-04
  1.02400000e+03   1.73764243e-04   2.26572908e-04   1.06654793e-04   1.45590765e-04   2.81295353e-04   3.31590030e-04   1.45670491e-04   2.03765600e-04
  2.04800000e+03   1.74709375e-04   2.25608545e-04   1.06764268e-04   1.39403618e-04   2.84570111e-04   3.31516147e-04   1.48514146e-04   2.04470793e-04
  4.09600000e+03   1.71534015e-04   2.16035318e-04   1.10645573e-04   1.44665484e-04   2.94375622e-04   3.23626132e-04   1.47362587e-04   2.10376376e-04
  8.19200000e+03   1.63117563e-04   2.23430286e-04   1.12567499e-04   1.49103906e-04   2.95576807e-04   3.12761493e-04   1.48236343e-04   2.12583790e-04
  1.63840000e+04   1.53921082e-04   2.21358770e-04   1.25628392e-04   1.63015070e-04   2.86562186e-04   2.92100447e-04   1.60132525e-04   2.42105319e-04
  3.27680000e+04   1.54731258e-04   2.21364986e-04   1.24497378e-04   1.14393401e-04   2.95998728e-04   3.57641304e-04   1.60407276e-04   2.57190187e-04
  6.55360000e+04   1.56131929e-04   1.95669531e-04   1.23459706e-04   1.22545372e-04   3.00872138e-04   2.88930356e-04   1.45619676e-04   3.09500380e-04
  1.31072000e+05   1.98407675e-04   2.32859268e-04   1.59782385e-04   1.16058329e-04   3.76245846e-04   2.98800953e-04   1.27937349e-04   3.24718498e-04
