# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24351561e-04   2.29881348e-04   3.74838540e-04   2.85561603e-04   9.10062377e-05
  2.00000000e+00   3.24227658e-04   2.30146028e-04   3.74739228e-04   2.85483991e-04   9.10926192e-05
  4.00000000e+00   3.25044918e-04   2.29804518e-04   3.74859264e-04   2.85964093e-04   9.09934612e-05
  8.00000000e+00   3.25020239e-04   2.30018249e-04   3.75264092e-04   2.85760361e-04   9.10612376e-05
  1.60000000e+01   3.25294531e-04   2.30085226e-04   3.75878756e-04   2.85593439e-04   9.11324556e-05
  3.20000000e+01   3.25548886e-04   2.31173240e-04   3.74428379e-04   2.86238683e-04   9.16643584e-05
  6.40000000e+01   3.24542539e-04   2.30388000e-04   3.74794055e-04   2.85839145e-04   9.14407068e-05
  1.28000000e+02   3.24132376e-04   2.31434103e-04   3.71758325e-04   2.88575531e-04   9.20229268e-05
  2.56000000e+02   3.26632129e-04   2.36939549e-04   3.76104488e-04   2.87416414e-04   9.36502612e-05
  5.12000000e+02   3.22720400e-04   2.40492630e-04   3.76623412e-04   2.85574282e-04   9.48402896e-05
  1.02400000e+03   3.16672614e-04   2.36051846e-04   3.73514483e-04   2.87752243e-04   9.35715332e-05
  2.04800000e+03   3.14265877e-04   2.41537216e-04   3.81269482e-04   2.85584437e-04   9.70661506e-05
  4.09600000e+03   3.27013607e-04   2.38033552e-04   3.76496991e-04   2.82517391e-04   9.47487802e-05
  8.19200000e+03   3.39246107e-04   2.26677319e-04   4.03591340e-04   2.70361597e-04   9.05596118e-05
  1.63840000e+04   3.50571620e-04   2.23255626e-04   4.08388331e-04   2.67572747e-04   8.76382289e-05
  3.27680000e+04   3.59350541e-04   2.41104010e-04   4.54299079e-04   2.65518834e-04   9.61477477e-05
  6.55360000e+04   4.23553369e-04   2.81116171e-04   4.96236499e-04   3.00272985e-04   1.07334750e-04
  1.31072000e+05   5.41206149e-04   2.49611947e-04   5.50187995e-04   3.14196546e-04   9.71654291e-05
