# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24953023e-04   2.29078570e-04   5.37505959e-04   2.28280360e-04   8.58289220e-04
  2.00000000e+00   3.24207886e-04   2.65670472e-04   5.38911581e-04   2.33630418e-04   8.66921262e-04
  4.00000000e+00   3.23437174e-04   3.08766812e-04   5.38826556e-04   2.35906383e-04   8.74371679e-04
  8.00000000e+00   3.23703440e-04   3.48114586e-04   5.39935212e-04   2.37574676e-04   8.81781432e-04
  1.60000000e+01   3.23685895e-04   3.72940018e-04   5.40599155e-04   2.38876005e-04   8.85235121e-04
  3.20000000e+01   3.23151817e-04   3.84749025e-04   5.40168832e-04   2.38693282e-04   8.85509467e-04
  6.40000000e+01   3.24061694e-04   3.92736271e-04   5.40577604e-04   2.38183082e-04   8.82768409e-04
  1.28000000e+02   3.22069593e-04   3.95497098e-04   5.40294149e-04   2.37379959e-04   8.91370390e-04
  2.56000000e+02   3.19812266e-04   3.96839455e-04   5.36850232e-04   2.34160450e-04   8.84358811e-04
  5.12000000e+02   3.17844158e-04   4.02076960e-04   5.36878434e-04   2.35332883e-04   8.85674984e-04
  1.02400000e+03   3.09350904e-04   4.03931442e-04   5.25107332e-04   2.30298812e-04   8.82309421e-04
  2.04800000e+03   3.04307223e-04   3.97562001e-04   5.29499904e-04   2.39489115e-04   8.87376441e-04
  4.09600000e+03   3.11302712e-04   3.90857003e-04   5.42631172e-04   2.45483152e-04   9.00762420e-04
  8.19200000e+03   3.17035802e-04   3.68573942e-04   5.37404213e-04   2.48053557e-04   8.57059655e-04
  1.63840000e+04   3.40505691e-04   3.70103231e-04   5.67147955e-04   2.51156753e-04   9.05328078e-04
  3.27680000e+04   3.28615654e-04   3.43511981e-04   4.43324571e-04   2.23901514e-04   8.84089018e-04
  6.55360000e+04   2.37723446e-04   3.46425200e-04   2.73627025e-04   2.20337527e-04   9.02252418e-04
  1.31072000e+05   1.82657683e-04   3.34406254e-04   1.94802629e-04   1.74879149e-04   7.71601058e-04
