# observable  mean  sigma_blocking
y  -4.37365029e-04  3.17844158e-04
y2  4.99524029e-01  4.02076960e-04
y3  -4.83104697e-04  5.36878434e-04
A  1.72942846e-04  2.35332883e-04
E  5.00715188e-01  8.85674984e-04
