# k  sigma_yc_n1  sigma_yc_n18  sigma_yc_n37  sigma_y2c_n1  sigma_y2c_n18  sigma_y2c_n37  sigma_y3c_n1  sigma_y3c_n18  sigma_y3c_n37  sigma_Ac_n1  sigma_Ac_n18  sigma_Ac_n37
  1.00000000e+00   2.27333833e-04   1.83881895e-04   1.69348142e-04   4.79135274e-04   1.78177348e-04   1.20958699e-04   2.92098232e-03   9.73172464e-04   5.63753688e-04   1.42098998e-03   2.79259743e-04   1.51403309e-04
  2.00000000e+00   2.63445572e-04   2.00760051e-04   1.82301600e-04   5.36001974e-04   1.85813623e-04   1.23788349e-04   3.21854937e-03   1.03724514e-03   5.86047693e-04   1.51251819e-03   2.82920575e-04   1.52152747e-04
  4.00000000e+00   3.06029020e-04   2.19460485e-04   1.99233278e-04   6.03070950e-04   1.93359866e-04   1.26584780e-04   3.56969191e-03   1.10793982e-03   6.11983926e-04   1.61876835e-03   2.84796619e-04   1.52535257e-04
  8.00000000e+00   3.44956467e-04   2.33840852e-04   2.17372791e-04   6.65857104e-04   1.99446542e-04   1.29393161e-04   3.90030519e-03   1.17245425e-03   6.39036816e-04   1.71926517e-03   2.86761173e-04   1.53018675e-04
  1.60000000e+01   3.69461688e-04   2.40916897e-04   2.31809458e-04   7.04567425e-04   2.02794178e-04   1.31117539e-04   4.10191805e-03   1.21059026e-03   6.59694967e-04   1.77793227e-03   2.88696488e-04   1.52909001e-04
  3.20000000e+01   3.81181113e-04   2.43866226e-04   2.39612243e-04   7.25877171e-04   2.03906655e-04   1.32167995e-04   4.22721200e-03   1.22899616e-03   6.69436448e-04   1.82608007e-03   2.90338191e-04   1.52927704e-04
  6.40000000e+01   3.89127225e-04   2.45238735e-04   2.42225057e-04   7.39542649e-04   2.04937394e-04   1.32631714e-04   4.29965783e-03   1.24527847e-03   6.76207105e-04   1.84891547e-03   2.94861139e-04   1.53357978e-04
  1.28000000e+02   3.91820430e-04   2.44198282e-04   2.43505812e-04   7.42342605e-04   2.03351497e-04   1.32327352e-04   4.31863867e-03   1.24179038e-03   6.76678548e-04   1.85995865e-03   2.97497153e-04   1.53186631e-04
  2.56000000e+02   3.92954593e-04   2.43270738e-04   2.44391413e-04   7.42729576e-04   2.03266040e-04   1.34202478e-04   4.31751964e-03   1.24142676e-03   6.80564452e-04   1.85402877e-03   2.95290710e-04   1.51384283e-04
  5.12000000e+02   3.97935179e-04   2.44512216e-04   2.45140494e-04   7.48498252e-04   2.03089416e-04   1.34576437e-04   4.33126267e-03   1.23176731e-03   6.87539188e-04   1.84551787e-03   2.91590116e-04   1.50866109e-04
  1.02400000e+03   3.99984397e-04   2.49410617e-04   2.46196799e-04   7.45149517e-04   2.02421189e-04   1.32617448e-04   4.30685084e-03   1.23650151e-03   6.88585375e-04   1.83216737e-03   2.92484498e-04   1.53078083e-04
  2.04800000e+03   3.93143991e-04   2.42601815e-04   2.46755314e-04   7.23799060e-04   1.95622339e-04   1.34599102e-04   4.19182356e-03   1.19600115e-03   6.96263871e-04   1.78873100e-03   2.82264040e-04   1.55431642e-04
  4.09600000e+03   3.86572114e-04   2.38023966e-04   2.45337456e-04   7.06121022e-04   1.90807279e-04   1.30221507e-04   4.05089170e-03   1.16880719e-03   7.15544737e-04   1.71130672e-03   2.72087162e-04   1.46245955e-04
  8.19200000e+03   3.63667943e-04   2.28735471e-04   2.26422940e-04   6.68820480e-04   1.77667864e-04   1.30185094e-04   3.87786934e-03   1.09081017e-03   6.49081752e-04   1.65603018e-03   2.63700196e-04   1.55227835e-04
  1.63840000e+04   3.66514722e-04   2.50597225e-04   2.21115138e-04   6.27109068e-04   1.93874402e-04   1.33857479e-04   3.51454129e-03   1.09950307e-03   6.92224401e-04   1.48311390e-03   2.68064095e-04   1.52419353e-04
  3.27680000e+04   3.38447755e-04   2.15335607e-04   1.80209765e-04   6.22005429e-04   1.50759149e-04   1.24752055e-04   3.51673996e-03   8.71294484e-04   5.66466395e-04   1.53372210e-03   2.28482722e-04   1.30827065e-04
  6.55360000e+04   3.44232041e-04   2.28417937e-04   1.83252259e-04   7.01409917e-04   1.70664690e-04   1.15733096e-04   4.23740150e-03   1.04441009e-03   5.01322320e-04   2.02583697e-03   2.55202418e-04   1.32796737e-04
  1.31072000e+05   3.36144167e-04   2.00023565e-04   1.30280452e-04   8.62104496e-04   1.83583008e-04   1.28521664e-04   5.40571911e-03   1.19988620e-03   4.34061704e-04   2.55441734e-03   2.79772788e-04   1.21575245e-04
