# observable  mean  sigma_blocking
y  1.51600671e-05  4.75579012e-04
y2  4.99567670e-01  4.88825260e-04
y3  1.20228347e-05  7.72958504e-04
A  -1.07172660e-05  2.82739317e-04
E  4.99100886e-01  1.07209740e-03
