# k  sigma_yc_n1  sigma_yc_n25  sigma_yc_n50  sigma_y2c_n1  sigma_y2c_n25  sigma_y2c_n50  sigma_y3c_n1  sigma_y3c_n25  sigma_y3c_n50  sigma_Ac_n1  sigma_Ac_n25  sigma_Ac_n50
  1.00000000e+00   2.28327033e-04   1.82895101e-04   1.68393304e-04   4.96247921e-04   1.76120444e-04   1.20751915e-04   3.05225296e-03   9.58933952e-04   5.61178588e-04   1.51046553e-03   2.68693203e-04   1.51423827e-04
  2.00000000e+00   2.75819012e-04   2.10391065e-04   1.91699439e-04   5.77381485e-04   1.91557981e-04   1.26308451e-04   3.48371248e-03   1.07043080e-03   6.11689127e-04   1.65650817e-03   2.80652381e-04   1.52702437e-04
  4.00000000e+00   3.30974441e-04   2.38119376e-04   2.16575851e-04   6.70832851e-04   2.05403684e-04   1.31317389e-04   3.97687322e-03   1.17795162e-03   6.59274872e-04   1.81676695e-03   2.87201260e-04   1.53571164e-04
  8.00000000e+00   3.87535147e-04   2.61750958e-04   2.42935212e-04   7.67478838e-04   2.16306922e-04   1.36435165e-04   4.48964501e-03   1.27628032e-03   7.03183658e-04   1.98354781e-03   2.91423474e-04   1.55297499e-04
  1.60000000e+01   4.29871195e-04   2.75419675e-04   2.66640068e-04   8.40134131e-04   2.22938857e-04   1.40009999e-04   4.87478640e-03   1.34027799e-03   7.42309653e-04   2.10784235e-03   2.93652156e-04   1.55793704e-04
  3.20000000e+01   4.52878059e-04   2.81583660e-04   2.80922069e-04   8.81966019e-04   2.26909673e-04   1.42041375e-04   5.10058308e-03   1.37777298e-03   7.65323890e-04   2.18320038e-03   2.94771311e-04   1.56860336e-04
  6.40000000e+01   4.66450856e-04   2.84539301e-04   2.90031145e-04   9.04367486e-04   2.28229172e-04   1.43203258e-04   5.22280768e-03   1.39188289e-03   7.75821354e-04   2.22453517e-03   2.93924649e-04   1.56786560e-04
  1.28000000e+02   4.70821119e-04   2.84029514e-04   2.96049128e-04   9.12299282e-04   2.29800132e-04   1.43197639e-04   5.25231713e-03   1.39937363e-03   7.94231338e-04   2.22574005e-03   2.94388773e-04   1.57632690e-04
  2.56000000e+02   4.78525107e-04   2.85893474e-04   2.99242990e-04   9.30568297e-04   2.31233560e-04   1.44391129e-04   5.35064674e-03   1.41132802e-03   7.95495597e-04   2.26155085e-03   2.94752725e-04   1.57794166e-04
  5.12000000e+02   4.86191504e-04   2.87706466e-04   2.92627722e-04   9.42517702e-04   2.33144032e-04   1.47010997e-04   5.41392134e-03   1.44034879e-03   7.79838901e-04   2.28517315e-03   2.99862393e-04   1.57411278e-04
  1.02400000e+03   4.88600258e-04   2.90617185e-04   2.97135238e-04   9.28938788e-04   2.27940463e-04   1.50335808e-04   5.31474487e-03   1.40718512e-03   7.87092647e-04   2.22517958e-03   2.95668963e-04   1.53846119e-04
  2.04800000e+03   4.83748703e-04   2.96912931e-04   3.05095161e-04   9.19114074e-04   2.27290677e-04   1.54936494e-04   5.22879099e-03   1.39754251e-03   7.66650053e-04   2.17192548e-03   2.94756508e-04   1.55088293e-04
  4.09600000e+03   4.65177721e-04   2.95757878e-04   3.20924573e-04   8.82635119e-04   2.33221023e-04   1.52840209e-04   5.03792337e-03   1.36177986e-03   8.14485873e-04   2.12367096e-03   3.08751016e-04   1.62965010e-04
  8.19200000e+03   4.68867877e-04   3.02709823e-04   3.06224165e-04   8.78876503e-04   2.53367418e-04   1.55811711e-04   5.01971444e-03   1.43728894e-03   7.86402149e-04   2.10516134e-03   3.19686340e-04   1.56168599e-04
  1.63840000e+04   4.60137603e-04   3.37528979e-04   3.20354418e-04   8.56181882e-04   2.51895451e-04   1.58658851e-04   4.85976226e-03   1.39824945e-03   7.78557177e-04   2.04980162e-03   2.97540344e-04   1.71519901e-04
  3.27680000e+04   4.53930297e-04   3.18934833e-04   3.00379428e-04   8.45206745e-04   2.75410701e-04   1.49092015e-04   4.78616626e-03   1.51031977e-03   8.28191019e-04   2.04276809e-03   3.37609735e-04   1.96564268e-04
  6.55360000e+04   4.20007005e-04   2.16155979e-04   3.13339029e-04   7.09019971e-04   2.11743203e-04   1.32163469e-04   4.06191902e-03   1.09421854e-03   8.58821723e-04   1.78751862e-03   3.75559191e-04   2.23372247e-04
  1.31072000e+05   4.86099960e-04   1.98898927e-04   3.33150490e-04   8.06741483e-04   2.05037804e-04   1.32770358e-04   4.69963908e-03   1.20765588e-03   9.74903346e-04   2.08137409e-03   3.13964332e-04   2.62121971e-04
