# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24174409e-04   2.29338736e-04   5.37142189e-04   2.29161293e-04   9.99004011e-04
  2.00000000e+00   3.81528275e-04   2.77149703e-04   6.24051542e-04   2.49669024e-04   1.01352452e-03
  4.00000000e+00   4.28359581e-04   3.32671532e-04   6.94304248e-04   2.64543249e-04   1.02724141e-03
  8.00000000e+00   4.56122301e-04   3.89581610e-04   7.35876126e-04   2.73283450e-04   1.03783811e-03
  1.60000000e+01   4.68894496e-04   4.32226383e-04   7.57106639e-04   2.77188871e-04   1.04408689e-03
  3.20000000e+01   4.75683612e-04   4.55412731e-04   7.66510276e-04   2.76885407e-04   1.05194225e-03
  6.40000000e+01   4.77703745e-04   4.69109960e-04   7.70109759e-04   2.79613466e-04   1.05730891e-03
  1.28000000e+02   4.77364227e-04   4.73539131e-04   7.73275328e-04   2.83662036e-04   1.06747408e-03
  2.56000000e+02   4.80532521e-04   4.81248163e-04   7.78806066e-04   2.85304807e-04   1.06028524e-03
  5.12000000e+02   4.75579012e-04   4.88825260e-04   7.72958504e-04   2.82739317e-04   1.07209740e-03
  1.02400000e+03   4.57517817e-04   4.91380836e-04   7.51192644e-04   2.84298925e-04   1.08981713e-03
  2.04800000e+03   4.81243761e-04   4.86620055e-04   7.74988244e-04   2.81687253e-04   1.10052184e-03
  4.09600000e+03   4.68755438e-04   4.67803404e-04   7.68724147e-04   2.91221815e-04   1.11928200e-03
  8.19200000e+03   4.73655200e-04   4.71227036e-04   7.65635510e-04   2.69799941e-04   1.18595838e-03
  1.63840000e+04   5.25388447e-04   4.62486967e-04   8.68604668e-04   2.85706647e-04   1.27973404e-03
  3.27680000e+04   5.00893018e-04   4.57284935e-04   9.06253875e-04   2.67221628e-04   1.26708152e-03
  6.55360000e+04   5.90852839e-04   4.24894475e-04   1.04365511e-03   3.14849628e-04   1.43851019e-03
  1.31072000e+05   5.14192364e-04   4.93382053e-04   8.89027108e-04   2.27202475e-04   9.90480339e-04
