# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   1.00080316e+00   9.68937657e-04   2.00249899e+00   2.39348421e-03   1.73208483e+00   2.30722313e-03   3.00579194e+00   5.70131350e-03
  2.00000000e+00   1.00067008e+00   9.75309184e-04   2.00232544e+00   2.46543340e-03   1.68613246e+00   2.30743307e-03   3.00546276e+00   6.11908729e-03
  3.00000000e+00   1.00074632e+00   9.76174129e-04   2.00191376e+00   2.52636272e-03   1.64072744e+00   2.27924629e-03   3.00335406e+00   6.46068313e-03
  4.00000000e+00   1.00069382e+00   9.82058709e-04   2.00226161e+00   2.65221900e-03   1.59828856e+00   2.34067014e-03   3.00357474e+00   6.96602637e-03
  5.00000000e+00   1.00087826e+00   1.00619290e-03   2.00236387e+00   2.78071787e-03   1.55671589e+00   2.35145541e-03   3.00185395e+00   7.52643401e-03
  6.00000000e+00   1.00106954e+00   1.03623813e-03   2.00276221e+00   2.94476112e-03   1.51706492e+00   2.38268141e-03   2.99956851e+00   8.03832867e-03
  7.00000000e+00   1.00106860e+00   1.07874448e-03   2.00183859e+00   3.11738173e-03   1.47798890e+00   2.40144989e-03   2.99429617e+00   8.63404978e-03
  8.00000000e+00   1.00121165e+00   1.13051467e-03   2.00198641e+00   3.32955131e-03   1.44320457e+00   2.46665100e-03   2.99497133e+00   9.31682039e-03
  9.00000000e+00   1.00064678e+00   1.16588636e-03   2.00139836e+00   3.46399038e-03   1.40983127e+00   2.48398948e-03   2.99733628e+00   9.96783350e-03
  1.00000000e+01   1.00040739e+00   1.22228808e-03   1.99970755e+00   3.69991824e-03   1.37625504e+00   2.55139531e-03   2.99351605e+00   1.10530603e-02
  1.10000000e+01   1.00078844e+00   1.27716350e-03   2.00017364e+00   3.91682665e-03   1.34595201e+00   2.61565304e-03   2.98763897e+00   1.21421920e-02
  1.20000000e+01   1.00059110e+00   1.33483437e-03   1.99779967e+00   4.16235371e-03   1.31661058e+00   2.64937851e-03   2.98105195e+00   1.32434274e-02
  1.30000000e+01   9.99797647e-01   1.40432012e-03   1.99672543e+00   4.42319864e-03   1.29166716e+00   2.67153790e-03   2.98144417e+00   1.43666437e-02
  1.40000000e+01   9.99531826e-01   1.50936231e-03   1.99582222e+00   4.78994150e-03   1.26727235e+00   2.80039013e-03   2.98092632e+00   1.60078185e-02
  1.50000000e+01   9.99335118e-01   1.61240180e-03   1.99624778e+00   5.16855357e-03   1.24716085e+00   2.91531532e-03   2.98993123e+00   1.76996751e-02
  1.60000000e+01   9.98815646e-01   1.70815466e-03   1.99701308e+00   5.55401279e-03   1.22732673e+00   3.07380051e-03   2.99694511e+00   1.94247725e-02
