# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   7.28476542e-04   5.26806684e-04   1.15040572e-03   5.60763315e-04   3.30852326e-04
  2.00000000e+00   7.27904522e-04   5.27770057e-04   1.14844690e-03   5.60936363e-04   3.31263654e-04
  4.00000000e+00   7.25886573e-04   5.28424895e-04   1.14508984e-03   5.59248215e-04   3.30933926e-04
  8.00000000e+00   7.19216333e-04   5.24825959e-04   1.13991183e-03   5.59730739e-04   3.32582531e-04
  1.60000000e+01   7.17835529e-04   5.21346353e-04   1.13598152e-03   5.59699575e-04   3.32228339e-04
  3.20000000e+01   7.12597940e-04   5.20622596e-04   1.12759826e-03   5.63614960e-04   3.32457130e-04
  6.40000000e+01   7.12203112e-04   5.11230310e-04   1.13265135e-03   5.53504066e-04   3.28240227e-04
  1.28000000e+02   7.08591081e-04   5.21270760e-04   1.15892461e-03   5.64585974e-04   3.29636251e-04
  2.56000000e+02   7.12651665e-04   5.09783543e-04   1.11841229e-03   5.64827319e-04   3.28393137e-04
  5.12000000e+02   6.92364882e-04   5.32914875e-04   1.09988765e-03   5.55587442e-04   3.26550207e-04
  1.02400000e+03   6.58992410e-04   5.13735748e-04   1.02894688e-03   5.69055544e-04   3.31463605e-04
  2.04800000e+03   7.02630411e-04   5.62797233e-04   1.08050155e-03   5.32369969e-04   3.22351837e-04
  4.09600000e+03   5.08885386e-04   5.34906970e-04   8.37875078e-04   5.56991794e-04   2.96140514e-04
  8.19200000e+03   5.09599431e-04   5.25978227e-04   8.51954247e-04   5.08284165e-04   3.04870037e-04
  1.63840000e+04   3.08860152e-04   5.95478764e-04   5.52700648e-04   4.10305253e-04   3.20576936e-04
