# observable  mean  sigma_blocking
y  2.88171522e-04  6.92364882e-04
y2  4.61707453e-01  5.32914875e-04
y3  5.10455132e-04  1.09988765e-03
A  7.81978495e-05  5.55587442e-04
E  4.61645013e-01  3.26550207e-04
