# k  sigma_yc_n1  sigma_yc_n3  sigma_yc_n6  sigma_y2c_n1  sigma_y2c_n3  sigma_y2c_n6  sigma_y3c_n1  sigma_y3c_n3  sigma_y3c_n6  sigma_Ac_n1  sigma_Ac_n3  sigma_Ac_n6
  1.00000000e+00   4.00433805e-04   3.76423912e-04   3.74934785e-04   3.49478756e-04   2.93971590e-04   2.91883851e-04   1.56138971e-03   1.09025995e-03   1.06231013e-03   4.87289682e-04   3.96525670e-04   3.90252238e-04
  2.00000000e+00   3.99615735e-04   3.76468304e-04   3.74293962e-04   3.49118897e-04   2.94654964e-04   2.91313841e-04   1.55689312e-03   1.08960484e-03   1.06015459e-03   4.86583740e-04   3.97584847e-04   3.91229429e-04
  4.00000000e+00   3.99067259e-04   3.73980934e-04   3.75046151e-04   3.48482172e-04   2.93806480e-04   2.91375806e-04   1.55174327e-03   1.08169615e-03   1.05884581e-03   4.87221075e-04   3.96112016e-04   3.90735473e-04
  8.00000000e+00   3.98456758e-04   3.76151720e-04   3.74434242e-04   3.48544244e-04   2.93830114e-04   2.92790032e-04   1.54276072e-03   1.08921162e-03   1.06553863e-03   4.85045277e-04   3.97699604e-04   3.93558074e-04
  1.60000000e+01   4.00370997e-04   3.74654909e-04   3.76134375e-04   3.47944704e-04   2.92463909e-04   2.90436965e-04   1.55942495e-03   1.08942998e-03   1.06581179e-03   4.83247139e-04   3.97142092e-04   3.93080696e-04
  3.20000000e+01   4.04224904e-04   3.72732367e-04   3.71669585e-04   3.51135968e-04   2.96433507e-04   2.92043894e-04   1.56740523e-03   1.08098630e-03   1.06023579e-03   4.81917033e-04   3.94919906e-04   3.92168619e-04
  6.40000000e+01   3.96803025e-04   3.71041966e-04   3.77763369e-04   3.53210683e-04   2.98303373e-04   2.86523898e-04   1.55068771e-03   1.08757582e-03   1.09005363e-03   4.85960295e-04   3.92420066e-04   3.96488220e-04
  1.28000000e+02   4.02815565e-04   3.70740632e-04   3.82531915e-04   3.56936217e-04   3.00791156e-04   2.80305341e-04   1.54615403e-03   1.06425445e-03   1.11138577e-03   4.69821135e-04   3.82456216e-04   3.93299641e-04
  2.56000000e+02   3.97419223e-04   3.75829166e-04   3.82048959e-04   3.49603572e-04   3.03561402e-04   2.80166607e-04   1.54146712e-03   1.09725230e-03   1.09178387e-03   4.74814153e-04   3.79400241e-04   3.89100762e-04
  5.12000000e+02   3.90291232e-04   3.65148140e-04   3.91262228e-04   3.63261214e-04   3.04002123e-04   2.68669825e-04   1.62534523e-03   1.02197454e-03   1.10706769e-03   4.67506547e-04   3.68059412e-04   3.83109067e-04
  1.02400000e+03   3.84025730e-04   3.90323197e-04   3.93102370e-04   3.66059688e-04   2.89814207e-04   2.68377451e-04   1.60036994e-03   1.10543390e-03   1.18910151e-03   4.71552458e-04   4.01864893e-04   3.69701985e-04
  2.04800000e+03   4.01294199e-04   4.03081587e-04   4.30730866e-04   3.65186043e-04   2.92011601e-04   2.83786731e-04   1.60552707e-03   1.07272379e-03   1.24430371e-03   4.47177038e-04   3.94723556e-04   3.81023092e-04
  4.09600000e+03   4.37680846e-04   4.25176677e-04   4.25409894e-04   3.15447504e-04   2.77055386e-04   2.69858623e-04   1.56978190e-03   1.04668407e-03   1.37749619e-03   5.02703782e-04   4.29436716e-04   4.05723170e-04
  8.19200000e+03   4.34013254e-04   4.93045141e-04   3.87807672e-04   3.08137629e-04   3.78309493e-04   2.17523194e-04   1.64376698e-03   1.09923853e-03   1.39747652e-03   3.10145873e-04   3.90680824e-04   4.97164319e-04
  1.63840000e+04   4.14976924e-04   6.33869830e-04   3.30503681e-04   2.16535720e-04   4.37591022e-04   2.02007825e-04   1.63876893e-03   1.17664663e-03   1.07531566e-03   3.91280516e-04   3.78377987e-04   4.34332237e-04
