# observable  mean  sigma_blocking
y  -2.14632282e-04  4.63108710e-04
y2  5.07129202e-01  5.88795760e-04
y3  -7.04460751e-04  7.91315424e-04
A  -3.82512328e-04  3.27775975e-04
E  5.05037849e-01  2.20536086e-03
