# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.94786326e-01   5.91215034e-04   4.90196987e-01   1.25288039e-03   1.87679036e+00   7.54373607e-03   7.30063817e-01   3.50008983e-03
  2.00000000e+00   4.82753661e-01   5.90033711e-04   4.66674586e-01   1.22339604e-03   1.79712583e+00   7.33990705e-03   6.78240200e-01   3.36531963e-03
  3.00000000e+00   4.71020485e-01   5.88170135e-04   4.44291155e-01   1.19317525e-03   1.72184089e+00   7.13822135e-03   6.30112164e-01   3.23301148e-03
  4.00000000e+00   4.59582079e-01   5.85596581e-04   4.23003118e-01   1.16252133e-03   1.65069679e+00   6.93951391e-03   5.85435131e-01   3.10355382e-03
  5.00000000e+00   4.48429944e-01   5.82358990e-04   4.02750256e-01   1.13152220e-03   1.58342792e+00   6.74517254e-03   5.43975255e-01   2.97822041e-03
  6.00000000e+00   4.37556836e-01   5.78452161e-04   3.83480783e-01   1.10000967e-03   1.51976737e+00   6.55188202e-03   5.05484298e-01   2.85497044e-03
  7.00000000e+00   4.26959035e-01   5.73913362e-04   3.65155686e-01   1.06849439e-03   1.45952422e+00   6.36264871e-03   4.69768376e-01   2.73611863e-03
  8.00000000e+00   4.16626840e-01   5.68924229e-04   3.47724089e-01   1.03726609e-03   1.40246766e+00   6.17674139e-03   4.36620064e-01   2.62068549e-03
  9.00000000e+00   4.06548050e-01   5.63473628e-04   3.31128083e-01   1.00622272e-03   1.34833684e+00   5.99403825e-03   4.05819339e-01   2.50867478e-03
  1.00000000e+01   3.96720128e-01   5.57647200e-04   3.15335221e-01   9.75576406e-04   1.29696654e+00   5.81481048e-03   3.77202293e-01   2.39944754e-03
  1.10000000e+01   3.87136075e-01   5.51468319e-04   3.00296636e-01   9.45320957e-04   1.24815913e+00   5.63833129e-03   3.50606530e-01   2.29252953e-03
  1.20000000e+01   3.77793118e-01   5.45006548e-04   2.85989488e-01   9.15603491e-04   1.20177786e+00   5.46708796e-03   3.25877604e-01   2.19021596e-03
