# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58945162e-04   3.38042650e-04   7.76679632e-04   3.38961605e-04   2.02696458e-03
  2.00000000e+00   4.60134408e-04   3.71835303e-04   7.78914609e-04   3.41209172e-04   2.06475586e-03
  4.00000000e+00   4.60606539e-04   4.20712103e-04   7.76831059e-04   3.35641502e-04   2.11110876e-03
  8.00000000e+00   4.58253686e-04   4.79288357e-04   7.73677791e-04   3.34945235e-04   2.15764589e-03
  1.60000000e+01   4.57258078e-04   5.31893795e-04   7.73917791e-04   3.34450858e-04   2.18714421e-03
  3.20000000e+01   4.55994246e-04   5.63703092e-04   7.73438435e-04   3.33465653e-04   2.20509651e-03
  6.40000000e+01   4.53185134e-04   5.81247526e-04   7.69455026e-04   3.33651643e-04   2.21375391e-03
  1.28000000e+02   4.52744667e-04   5.87686715e-04   7.70811554e-04   3.31898092e-04   2.19336145e-03
  2.56000000e+02   4.55868571e-04   5.89180035e-04   7.76985912e-04   3.27620579e-04   2.18797245e-03
  5.12000000e+02   4.63108710e-04   5.88795760e-04   7.91315424e-04   3.27775975e-04   2.20536086e-03
  1.02400000e+03   4.55997145e-04   5.91585694e-04   7.66044788e-04   3.18519161e-04   2.23988750e-03
  2.04800000e+03   4.62984396e-04   5.88075541e-04   7.76091454e-04   3.12490935e-04   2.29626715e-03
  4.09600000e+03   4.67374332e-04   6.00794747e-04   8.00398759e-04   3.07648563e-04   2.25611288e-03
  8.19200000e+03   5.09712832e-04   6.27004681e-04   8.73682959e-04   3.11419324e-04   2.26839228e-03
  1.63840000e+04   5.51267911e-04   5.98472799e-04   8.74001099e-04   2.86816468e-04   2.01444904e-03
  3.27680000e+04   5.21031851e-04   6.01038023e-04   9.38049735e-04   3.24553990e-04   1.74760168e-03
  6.55360000e+04   5.13581220e-04   5.55870393e-04   9.97172226e-04   3.97203180e-04   1.92786464e-03
  1.31072000e+05   5.88057633e-04   5.25785821e-04   1.19891624e-03   5.21864723e-04   2.02244102e-03
