# corr  xi  xi_err  DeltaE  DeltaE_err
yc  4.51880499e+01  2.08527561e-02  8.85189782e-01  4.08485133e-04
y2c  2.19422455e+01  1.41525053e-02  1.82296748e+00  1.17579383e-03
y3c  3.92529943e+01  3.42541400e-02  1.01903054e+00  8.89257376e-04
Ac  1.42070257e+01  1.77562404e-02  2.81550838e+00  3.51888175e-03
