# k  sigma_yc_n1  sigma_yc_n25  sigma_yc_n50  sigma_y2c_n1  sigma_y2c_n25  sigma_y2c_n50  sigma_y3c_n1  sigma_y3c_n25  sigma_y3c_n50  sigma_Ac_n1  sigma_Ac_n25  sigma_Ac_n50
  1.00000000e+00   3.37694622e-04   3.11640033e-04   2.96597612e-04   7.75623370e-04   4.57954755e-04   2.99499344e-04   4.94414927e-03   2.68722311e-03   1.67061222e-03   2.55889043e-03   1.05983574e-03   5.18533034e-04
  2.00000000e+00   3.71288614e-04   3.27330973e-04   3.00979892e-04   8.34182051e-04   4.72156627e-04   3.01646343e-04   5.25224135e-03   2.79266980e-03   1.68698995e-03   2.66112209e-03   1.07576646e-03   5.21261079e-04
  4.00000000e+00   4.19909256e-04   3.50698063e-04   3.07216950e-04   9.20276384e-04   4.92816407e-04   3.05520100e-04   5.71287100e-03   2.94475830e-03   1.70647491e-03   2.81951694e-03   1.09316251e-03   5.23959173e-04
  8.00000000e+00   4.78236316e-04   3.80942552e-04   3.16746682e-04   1.02643107e-03   5.19515913e-04   3.10894383e-04   6.29031159e-03   3.14396158e-03   1.73708820e-03   3.02303407e-03   1.11873894e-03   5.27426800e-04
  1.60000000e+01   5.30631879e-04   4.08907634e-04   3.26162978e-04   1.12103754e-03   5.43665345e-04   3.14855113e-04   6.80138087e-03   3.32282069e-03   1.76024260e-03   3.20059997e-03   1.13862529e-03   5.29591355e-04
  3.20000000e+01   5.62328068e-04   4.26439201e-04   3.31660974e-04   1.17934113e-03   5.59214952e-04   3.16498874e-04   7.12690730e-03   3.44515922e-03   1.77370297e-03   3.31809116e-03   1.15827848e-03   5.31140223e-04
  6.40000000e+01   5.79800973e-04   4.36744524e-04   3.35058716e-04   1.20894229e-03   5.67460152e-04   3.19935599e-04   7.28767458e-03   3.50365944e-03   1.79353101e-03   3.37256449e-03   1.16492188e-03   5.33996300e-04
  1.28000000e+02   5.86220891e-04   4.41356413e-04   3.38890980e-04   1.22259906e-03   5.71625951e-04   3.21231303e-04   7.36612771e-03   3.52836132e-03   1.79503470e-03   3.40238863e-03   1.17003486e-03   5.34404516e-04
  2.56000000e+02   5.87678084e-04   4.44252072e-04   3.42532982e-04   1.22095914e-03   5.70850439e-04   3.23501513e-04   7.37114541e-03   3.53865152e-03   1.80507878e-03   3.40790541e-03   1.17578677e-03   5.38223492e-04
  5.12000000e+02   5.87367410e-04   4.43946642e-04   3.40775367e-04   1.22687859e-03   5.72144974e-04   3.22576998e-04   7.40356577e-03   3.54463157e-03   1.81494359e-03   3.42234118e-03   1.17508033e-03   5.34827634e-04
  1.02400000e+03   5.90071225e-04   4.46111037e-04   3.42046107e-04   1.22377369e-03   5.79447662e-04   3.30615771e-04   7.34288264e-03   3.55912204e-03   1.84129721e-03   3.36692462e-03   1.17245540e-03   5.33251259e-04
  2.04800000e+03   5.86787020e-04   4.49472906e-04   3.34403944e-04   1.21600390e-03   5.78437389e-04   3.20439302e-04   7.28837640e-03   3.54275907e-03   1.80275460e-03   3.34200237e-03   1.15253356e-03   5.05689115e-04
  4.09600000e+03   5.99311514e-04   4.50586022e-04   3.24816731e-04   1.24583196e-03   5.84066748e-04   3.11369983e-04   7.41877842e-03   3.58225571e-03   1.78302215e-03   3.36337378e-03   1.11562439e-03   4.92904689e-04
  8.19200000e+03   6.25339606e-04   4.66461023e-04   3.17469403e-04   1.30420948e-03   5.91153713e-04   2.85510027e-04   7.79028748e-03   3.67189779e-03   1.71298106e-03   3.53823933e-03   1.09382104e-03   4.52875269e-04
  1.63840000e+04   5.96863888e-04   4.38231657e-04   2.83718043e-04   1.18637356e-03   5.02384399e-04   2.36065681e-04   6.98322381e-03   3.14686502e-03   1.47742796e-03   3.14167383e-03   9.20343707e-04   4.15839887e-04
  3.27680000e+04   5.99358296e-04   4.36183967e-04   3.02396790e-04   1.05466886e-03   4.14590854e-04   2.38971164e-04   5.70603676e-03   2.48770885e-03   1.51121063e-03   2.28771351e-03   7.42021954e-04   4.36247895e-04
  6.55360000e+04   5.54671933e-04   4.03853226e-04   3.46057842e-04   1.06675018e-03   3.85996940e-04   2.34619448e-04   5.82100702e-03   2.21473699e-03   1.17866329e-03   2.47482053e-03   5.78673832e-04   3.27801138e-04
  1.31072000e+05   5.25203399e-04   3.97415825e-04   3.97616792e-04   1.12762410e-03   4.14693018e-04   1.58817890e-04   6.51287593e-03   2.57648954e-03   1.48668839e-03   2.84169388e-03   5.01387091e-04   2.07756247e-04
