# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.14411995e-01   1.01334196e-02   1.69588298e+00   2.02402668e-01   9.10261500e-01   1.67437122e-02   1.01578534e+00   8.66496225e-02
  2.00000000e+00   8.84707878e-01   4.27564031e-02              nan   0.00000000e+00   9.11114168e-01   8.63217167e-02   1.32992649e+00   8.35220602e-01
  3.00000000e+00   1.17665625e+00   3.84237079e-01   3.28242376e-01   2.29543181e+00   9.07139316e-01   3.75027298e-01  -4.11373824e-02   1.11639986e+00
  4.00000000e+00              nan   0.00000000e+00  -1.28500659e-01   2.52339288e+00              nan   0.00000000e+00   4.37600998e-01   1.33833968e+00
  5.00000000e+00  -9.95438228e-01   1.18862597e+00              nan   0.00000000e+00  -1.14329633e+00   3.06994298e+00              nan   0.00000000e+00
