# observable  mean  sigma_blocking
y  -6.25943517e-05  7.37382411e-04
y2  3.83283391e-01  5.31175779e-04
y3  1.02425604e-03  1.08600408e-03
A  1.11814757e-03  6.13626612e-04
E  3.83958008e-01  1.99279458e-04
