# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   8.41620281e-02   3.91389549e-04   1.45775909e-02   3.59300801e-04   1.17030852e-01   1.39235880e-03   1.39665845e-02   4.77218364e-04
  2.00000000e+00   1.83334174e-02   3.31466578e-04   8.63832897e-04   2.93954180e-04   2.56704243e-02   8.00951268e-04   2.56972770e-03   3.76712587e-04
  3.00000000e+00   4.19647105e-03   3.32040725e-04  -1.45274438e-04   2.72380889e-04   5.62334226e-03   8.28433205e-04   2.82885358e-04   3.84684949e-04
  4.00000000e+00   5.91760868e-04   3.78998817e-04  -8.68589264e-05   2.53635638e-04   1.24235892e-03   7.74816238e-04   3.02293451e-04   3.65398425e-04
  5.00000000e+00  -1.99608253e-04   4.11923176e-04  -1.05956030e-04   2.57884159e-04  -2.00046831e-04   8.22459098e-04   1.47723980e-04   2.90752971e-04
  6.00000000e+00  -1.02554861e-03   5.13831900e-04   1.86442137e-04   3.79746177e-04  -1.19963540e-03   1.07870209e-03  -3.07040252e-04   4.50623288e-04
