# k  sigma_yc_n1  sigma_yc_n2  sigma_yc_n4  sigma_y2c_n1  sigma_y2c_n2  sigma_y2c_n4  sigma_y3c_n1  sigma_y3c_n2  sigma_y3c_n4  sigma_Ac_n1  sigma_Ac_n2  sigma_Ac_n4
  1.00000000e+00   3.77409344e-04   3.74168336e-04   4.01766921e-04   2.80142922e-04   2.75239872e-04   2.77189790e-04   8.63041644e-04   8.07162356e-04   8.30134768e-04   3.71557507e-04   3.60830453e-04   3.60175711e-04
  2.00000000e+00   3.77812163e-04   3.74595781e-04   4.03161257e-04   2.81353941e-04   2.76925923e-04   2.76390945e-04   8.64376331e-04   8.06496939e-04   8.31805530e-04   3.71163439e-04   3.61023365e-04   3.60037738e-04
  4.00000000e+00   3.76794265e-04   3.75620885e-04   4.03049534e-04   2.82067973e-04   2.78553036e-04   2.75763317e-04   8.59135499e-04   8.09231818e-04   8.32815047e-04   3.70648190e-04   3.61824613e-04   3.59652602e-04
  8.00000000e+00   3.77130255e-04   3.78174888e-04   4.04579194e-04   2.82083112e-04   2.78426323e-04   2.76370622e-04   8.59557291e-04   8.14972493e-04   8.32207187e-04   3.69835298e-04   3.61167579e-04   3.59381546e-04
  1.60000000e+01   3.79640570e-04   3.76588336e-04   4.04666727e-04   2.85044161e-04   2.80463446e-04   2.73252673e-04   8.61844210e-04   8.11411851e-04   8.28305721e-04   3.70177877e-04   3.59420141e-04   3.57764703e-04
  3.20000000e+01   3.78996314e-04   3.76136783e-04   4.09549241e-04   2.88157825e-04   2.83066841e-04   2.72063573e-04   8.58487308e-04   8.13585937e-04   8.33627898e-04   3.69714881e-04   3.59037996e-04   3.57985895e-04
  6.40000000e+01   3.74054364e-04   3.79996776e-04   4.10935247e-04   2.94212029e-04   2.80413554e-04   2.71289919e-04   8.75411443e-04   8.24966731e-04   8.32150569e-04   3.76153151e-04   3.61436430e-04   3.48867842e-04
  1.28000000e+02   3.68840446e-04   3.87913178e-04   4.17337174e-04   2.91224649e-04   2.75737065e-04   2.61887107e-04   8.68818464e-04   8.33742689e-04   8.35820770e-04   3.80522721e-04   3.65964883e-04   3.39641612e-04
  2.56000000e+02   3.67341230e-04   3.71570106e-04   4.17164618e-04   2.91094780e-04   2.77698679e-04   2.58883272e-04   8.74860887e-04   8.48129387e-04   8.29107301e-04   3.87923754e-04   3.70089598e-04   3.35889595e-04
  5.12000000e+02   3.59651752e-04   3.48306550e-04   3.94881757e-04   2.90402212e-04   2.87236191e-04   2.51852707e-04   8.43020922e-04   8.66624072e-04   8.36670672e-04   3.80110662e-04   3.73370536e-04   3.38138503e-04
  1.02400000e+03   3.21257387e-04   3.22646902e-04   4.06757381e-04   2.89507166e-04   2.72579778e-04   2.64474559e-04   7.96770747e-04   7.30327730e-04   8.69667656e-04   3.73688684e-04   3.97767179e-04   2.84736191e-04
  2.04800000e+03   3.06324538e-04   2.93748499e-04   4.12117347e-04   2.98328726e-04   2.77403427e-04   2.47729019e-04   8.32788418e-04   7.62458961e-04   7.83823647e-04   2.83154897e-04   4.37391562e-04   2.91363975e-04
  4.09600000e+03   3.70325203e-04   2.80801337e-04   4.72386381e-04   2.73970400e-04   2.25478458e-04   2.36748220e-04   9.24698627e-04   6.33262203e-04   9.06367218e-04   2.72761417e-04   3.69203188e-04   3.03019436e-04
  8.19200000e+03   3.98794037e-04   2.25125430e-04   5.08806638e-04   3.15242732e-04   2.75956558e-04   2.63360561e-04   9.19043105e-04   5.03575420e-04   1.20205697e-03   2.42148841e-04   3.77236999e-04   2.48274568e-04
  1.63840000e+04   2.94673882e-04   1.66634053e-04   4.78050561e-04   3.13993772e-04   3.23639009e-04   3.46817281e-04   4.68256148e-04   6.21581902e-04   1.72016170e-03   1.65971052e-04   2.38201267e-04   2.90854260e-04
