# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   7.23316146e-04   5.34320240e-04   1.00443112e-03   6.09335180e-04   1.96695876e-04
  2.00000000e+00   7.21931015e-04   5.33571623e-04   1.00030879e-03   6.08067113e-04   1.96875352e-04
  4.00000000e+00   7.21785211e-04   5.32331752e-04   9.99628378e-04   6.04854479e-04   1.97106513e-04
  8.00000000e+00   7.22674998e-04   5.32122838e-04   9.98677815e-04   6.04863028e-04   1.97821124e-04
  1.60000000e+01   7.26695108e-04   5.32034513e-04   9.99839068e-04   6.04481473e-04   1.98008025e-04
  3.20000000e+01   7.28574935e-04   5.27483658e-04   9.95329575e-04   6.04316662e-04   1.99511964e-04
  6.40000000e+01   7.33835107e-04   5.24339045e-04   1.00548182e-03   6.14601175e-04   1.98266149e-04
  1.28000000e+02   7.11793431e-04   5.11191835e-04   9.91223541e-04   6.04003638e-04   1.94765688e-04
  2.56000000e+02   7.24893568e-04   5.22373004e-04   1.03598736e-03   6.08454456e-04   1.95039786e-04
  5.12000000e+02   7.37382411e-04   5.31175779e-04   1.08600408e-03   6.13626612e-04   1.99279458e-04
  1.02400000e+03   7.55190056e-04   5.40171944e-04   1.16401370e-03   6.48087197e-04   1.89473671e-04
  2.04800000e+03   6.78160114e-04   6.18756324e-04   1.04231892e-03   6.75321699e-04   2.10892437e-04
  4.09600000e+03   5.78040491e-04   6.11650289e-04   7.59706090e-04   7.47501040e-04   2.12360565e-04
  8.19200000e+03   4.51142343e-04   6.07577413e-04   8.97374550e-04   6.08168098e-04   2.48876669e-04
  1.63840000e+04   2.69219146e-04   6.24281928e-04   6.58472260e-04   3.14675098e-04   2.11872121e-04
