# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   3.91635926e-01   2.30597578e-04   3.06477271e-01   4.38969619e-04   1.22742494e+00   2.60313068e-03   3.58851902e-01   1.20490064e-03
  2.00000000e+00   3.08808604e-01   2.21565615e-04   1.90464558e-01   3.49300857e-04   8.60394981e-01   2.00204993e-03   1.75589922e-01   8.17215272e-04
  3.00000000e+00   2.43488938e-01   2.10135289e-04   1.18318804e-01   2.81923000e-04   6.25692248e-01   1.58158344e-03   8.57869329e-02   5.73362642e-04
  4.00000000e+00   1.92014243e-01   1.98724615e-04   7.34083319e-02   2.30355107e-04   4.67306031e-01   1.27884704e-03   4.17515921e-02   4.20427898e-04
  5.00000000e+00   1.51421610e-01   1.90551006e-04   4.55428678e-02   1.93106682e-04   3.55983267e-01   1.06068645e-03   2.03442772e-02   3.22670461e-04
  6.00000000e+00   1.19420530e-01   1.81028133e-04   2.81601885e-02   1.65643626e-04   2.74334469e-01   8.79682181e-04   9.69282194e-03   2.50686069e-04
  7.00000000e+00   9.42512455e-02   1.74139692e-04   1.74662210e-02   1.47316813e-04   2.13403914e-01   7.50349412e-04   4.67322505e-03   2.13032796e-04
  8.00000000e+00   7.43737355e-02   1.69635799e-04   1.08413365e-02   1.36440774e-04   1.66988999e-01   6.64450504e-04   2.30541886e-03   1.90632950e-04
  9.00000000e+00   5.87276075e-02   1.67162646e-04   6.68203706e-03   1.28456150e-04   1.31083155e-01   6.00319252e-04   1.09611053e-03   1.73694988e-04
  1.00000000e+01   4.63912407e-02   1.66047394e-04   4.04505440e-03   1.23693649e-04   1.03025335e-01   5.60354062e-04   4.53716731e-04   1.67002367e-04
  1.10000000e+01   3.66702200e-02   1.65232768e-04   2.47549211e-03   1.18379740e-04   8.14433322e-02   5.37344817e-04   3.43412499e-04   1.60914443e-04
  1.20000000e+01   2.90354683e-02   1.64511040e-04   1.51046748e-03   1.15770861e-04   6.47759687e-02   5.18160303e-04   3.81866983e-04   1.55596840e-04
  1.30000000e+01   2.30681233e-02   1.66302484e-04   9.03400324e-04   1.17007070e-04   5.13971262e-02   5.11456310e-04   4.02548460e-04   1.48421188e-04
  1.40000000e+01   1.84302456e-02   1.69459252e-04   5.72470277e-04   1.17717324e-04   4.10093729e-02   5.07316974e-04   2.61825797e-04   1.46239580e-04
  1.50000000e+01   1.48139584e-02   1.74039010e-04   3.67885830e-04   1.18043698e-04   3.28824626e-02   5.27771643e-04   1.50543555e-04   1.52636043e-04
  1.60000000e+01   1.20650930e-02   1.80589029e-04   2.28845022e-04   1.19419087e-04   2.68167219e-02   5.43140969e-04   4.04159813e-05   1.52540671e-04
  1.70000000e+01   9.98274362e-03   1.87983622e-04   1.27724499e-04   1.21434885e-04   2.22151059e-02   5.63626581e-04  -3.50489682e-05   1.50995279e-04
  1.80000000e+01   8.47186020e-03   1.97321511e-04   7.99498130e-05   1.26366606e-04   1.89537812e-02   5.83492692e-04   6.27235382e-06   1.55510070e-04
  1.90000000e+01   7.44118997e-03   2.05745699e-04   2.09144434e-05   1.34473975e-04   1.66440802e-02   6.18496806e-04   6.60322112e-05   1.69115129e-04
  2.00000000e+01   6.86663075e-03   2.13972641e-04  -7.29501615e-05   1.49960247e-04   1.52884331e-02   6.60175738e-04  -4.49289072e-06   1.94388872e-04
  2.10000000e+01   6.67700017e-03   2.18553641e-04  -1.18835457e-04   1.61275420e-04   1.50537765e-02   6.88835249e-04   1.92296350e-04   2.18886921e-04
