# k  sigma_yc_n1  sigma_yc_n5  sigma_yc_n10  sigma_y2c_n1  sigma_y2c_n5  sigma_y2c_n10  sigma_y3c_n1  sigma_y3c_n5  sigma_y3c_n10  sigma_Ac_n1  sigma_Ac_n5  sigma_Ac_n10
  1.00000000e+00   2.14895112e-04   1.80090333e-04   1.69323829e-04   3.49080797e-04   1.64414783e-04   1.21986415e-04   2.02461885e-03   8.76486859e-04   5.56595919e-04   8.36507159e-04   2.54527207e-04   1.59431205e-04
  2.00000000e+00   2.18124692e-04   1.81091950e-04   1.70424783e-04   3.52304554e-04   1.64681424e-04   1.21954597e-04   2.04189775e-03   8.80729045e-04   5.57823793e-04   8.39050224e-04   2.54035679e-04   1.59433054e-04
  4.00000000e+00   2.19557169e-04   1.81285346e-04   1.70843881e-04   3.53270395e-04   1.64774975e-04   1.21912232e-04   2.04769337e-03   8.81764016e-04   5.57994658e-04   8.39739164e-04   2.53924107e-04   1.59735516e-04
  8.00000000e+00   2.20540407e-04   1.81563858e-04   1.71296783e-04   3.54055466e-04   1.64665649e-04   1.22058950e-04   2.05081605e-03   8.81416833e-04   5.57840963e-04   8.39601292e-04   2.53552979e-04   1.59816932e-04
  1.60000000e+01   2.21192071e-04   1.81228982e-04   1.71667456e-04   3.54719749e-04   1.64775859e-04   1.22489632e-04   2.05378512e-03   8.81405019e-04   5.58466935e-04   8.40315770e-04   2.52782446e-04   1.59671541e-04
  3.20000000e+01   2.21369526e-04   1.81136474e-04   1.72042406e-04   3.54980693e-04   1.64989345e-04   1.21761421e-04   2.05492047e-03   8.82517016e-04   5.57629148e-04   8.41175753e-04   2.52194087e-04   1.60106439e-04
  6.40000000e+01   2.21196477e-04   1.81789693e-04   1.72404120e-04   3.55303865e-04   1.65702805e-04   1.21864953e-04   2.05831612e-03   8.81081711e-04   5.57163264e-04   8.43949088e-04   2.51397029e-04   1.60620563e-04
  1.28000000e+02   2.23033993e-04   1.82873241e-04   1.72157992e-04   3.55854675e-04   1.64322440e-04   1.21220526e-04   2.06520018e-03   8.76941535e-04   5.57052956e-04   8.47705139e-04   2.49653979e-04   1.60963889e-04
  2.56000000e+02   2.23131428e-04   1.83445247e-04   1.71235900e-04   3.52970320e-04   1.64920578e-04   1.21336425e-04   2.05142266e-03   8.80733412e-04   5.56781965e-04   8.44391693e-04   2.51343471e-04   1.58763138e-04
  5.12000000e+02   2.19902502e-04   1.78537994e-04   1.67124550e-04   3.48507889e-04   1.66136154e-04   1.19616995e-04   2.02788596e-03   8.68364550e-04   5.38556562e-04   8.39621369e-04   2.50193263e-04   1.58089943e-04
  1.02400000e+03   2.22257108e-04   1.82963986e-04   1.68759861e-04   3.47215507e-04   1.65957662e-04   1.18655271e-04   2.00746998e-03   8.62071660e-04   5.38358909e-04   8.22066404e-04   2.47218317e-04   1.58454490e-04
  2.04800000e+03   2.17169475e-04   1.78321830e-04   1.58251223e-04   3.40321679e-04   1.59583616e-04   1.19281716e-04   1.94739855e-03   8.40682864e-04   5.25883706e-04   7.91904063e-04   2.46985653e-04   1.64958878e-04
  4.09600000e+03   2.12947431e-04   1.74002735e-04   1.53298861e-04   3.44333409e-04   1.56709577e-04   1.18164140e-04   1.96719391e-03   8.33531935e-04   5.01688291e-04   7.88938297e-04   2.28127697e-04   1.59140560e-04
  8.19200000e+03   2.23766369e-04   1.80241631e-04   1.57674605e-04   3.51955704e-04   1.53278283e-04   1.16724787e-04   2.00126755e-03   8.29302885e-04   4.86561671e-04   7.93092999e-04   2.26241235e-04   1.48993559e-04
  1.63840000e+04   2.27203438e-04   1.86344822e-04   1.68033536e-04   3.84974754e-04   1.66712645e-04   1.18770308e-04   2.13393782e-03   8.97267936e-04   4.68292976e-04   8.15487409e-04   2.26312670e-04   1.52582757e-04
  3.27680000e+04   2.03117667e-04   1.81983728e-04   1.59592438e-04   3.70700981e-04   1.57315127e-04   1.22936912e-04   2.05090239e-03   8.55119680e-04   4.98729719e-04   7.85681247e-04   2.34566401e-04   1.72003644e-04
  6.55360000e+04   1.92244429e-04   1.92882063e-04   1.23601086e-04   3.59852092e-04   1.52998606e-04   1.08774095e-04   1.85798293e-03   8.49250836e-04   5.52008283e-04   7.69502949e-04   2.28770101e-04   2.02365252e-04
  1.31072000e+05   2.13922902e-04   1.96171932e-04   1.34334982e-04   3.95485107e-04   1.31928699e-04   1.27711753e-04   1.99435409e-03   9.34364530e-04   5.28609755e-04   6.99570505e-04   2.32606381e-04   2.30447674e-04
