# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24368861e-04   2.29865208e-04   5.35564448e-04   2.31479698e-04   4.11838051e-04
  2.00000000e+00   3.23750802e-04   2.33446162e-04   5.34944169e-04   2.31821237e-04   4.12262165e-04
  4.00000000e+00   3.23380535e-04   2.35135459e-04   5.34630765e-04   2.31823308e-04   4.12345579e-04
  8.00000000e+00   3.22919512e-04   2.36290544e-04   5.33448917e-04   2.31389190e-04   4.12823329e-04
  1.60000000e+01   3.22784791e-04   2.37215711e-04   5.33453559e-04   2.30794144e-04   4.11428123e-04
  3.20000000e+01   3.21043620e-04   2.37592263e-04   5.30317648e-04   2.31760962e-04   4.13669236e-04
  6.40000000e+01   3.21203984e-04   2.37406373e-04   5.28740081e-04   2.31515083e-04   4.13598746e-04
  1.28000000e+02   3.23777764e-04   2.39663763e-04   5.33699975e-04   2.32763314e-04   4.14447754e-04
  2.56000000e+02   3.25576275e-04   2.40019978e-04   5.36784939e-04   2.32840368e-04   4.12491132e-04
  5.12000000e+02   3.22757735e-04   2.35607604e-04   5.29480628e-04   2.32191476e-04   4.11430924e-04
  1.02400000e+03   3.28864630e-04   2.37288638e-04   5.40169629e-04   2.37033701e-04   4.09928463e-04
  2.04800000e+03   3.40455123e-04   2.33787939e-04   5.58584389e-04   2.40030493e-04   4.18578497e-04
  4.09600000e+03   3.32544112e-04   2.30650318e-04   5.37199604e-04   2.33339861e-04   4.03454701e-04
  8.19200000e+03   3.50730873e-04   2.38481197e-04   5.57126506e-04   2.27092151e-04   3.90803372e-04
  1.63840000e+04   3.64470296e-04   2.41245850e-04   5.74212913e-04   2.25016789e-04   3.44563436e-04
  3.27680000e+04   3.78868975e-04   2.18238394e-04   5.74919163e-04   2.21823149e-04   3.79888429e-04
  6.55360000e+04   4.17510939e-04   2.01845697e-04   6.04432448e-04   2.33938564e-04   3.35116044e-04
  1.31072000e+05   4.28114690e-04   2.30884496e-04   6.29967479e-04   2.23873653e-04   3.54517177e-04
