# observable  mean  sigma_blocking
y  2.49524343e-04  3.22757735e-04
y2  4.96645018e-01  2.35607604e-04
y3  3.43185391e-04  5.29480628e-04
A  -3.11011228e-05  2.32191476e-04
E  4.95963213e-01  4.11430924e-04
