# corr  xi  xi_err  DeltaE  DeltaE_err
yc  9.67079745e+00  7.17446925e-03  8.68594348e-01  6.44383617e-04
y2c  4.60715285e+00  5.75291965e-03  1.82325186e+00  2.27668189e-03
y3c  8.30657559e+00  1.32929945e-02  1.01124704e+00  1.61829640e-03
Ac  2.98293023e+00  7.75267496e-03  2.81602296e+00  7.31888076e-03
