# lag  C_{y^2}
# # fit_params: A=2.25710278e-01  tau=8.01735333e-01
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   6.49772112e-02
  2.00000000e+00   1.77704932e-02
  3.00000000e+00   6.48087363e-03
  4.00000000e+00   2.07430277e-03
  5.00000000e+00   1.09922373e-03
  6.00000000e+00   9.70849073e-04
  7.00000000e+00  -7.78966286e-04
  8.00000000e+00  -9.42908980e-04
  9.00000000e+00  -1.67594804e-03
  1.00000000e+01   8.39858802e-04
  1.10000000e+01  -9.90045527e-04
  1.20000000e+01   1.60649759e-03
  1.30000000e+01  -4.36639220e-04
  1.40000000e+01  -1.48768861e-03
  1.50000000e+01  -1.52085737e-03
  1.60000000e+01   2.53739882e-04
  1.70000000e+01  -1.30149132e-04
  1.80000000e+01  -7.68675772e-04
  1.90000000e+01   1.32929049e-03
  2.00000000e+01   1.77510010e-03
  2.10000000e+01   3.64238775e-04
  2.20000000e+01  -1.38541209e-03
  2.30000000e+01  -3.07866683e-04
  2.40000000e+01   1.21599904e-03
  2.50000000e+01  -4.22098720e-04
  2.60000000e+01  -3.39238271e-05
  2.70000000e+01   1.07075416e-03
  2.80000000e+01  -1.00067705e-03
  2.90000000e+01  -3.82863387e-04
  3.00000000e+01   1.31750676e-03
  3.10000000e+01   8.86681315e-04
  3.20000000e+01   1.05374505e-03
  3.30000000e+01   1.03691873e-03
  3.40000000e+01  -6.85239165e-04
  3.50000000e+01   2.00438837e-05
  3.60000000e+01  -2.75275780e-04
  3.70000000e+01  -2.76098714e-04
  3.80000000e+01   6.30156913e-04
  3.90000000e+01   3.52711381e-04
  4.00000000e+01   1.87741117e-03
  4.10000000e+01  -5.66962274e-05
  4.20000000e+01  -7.27855502e-04
  4.30000000e+01  -8.35977828e-05
  4.40000000e+01  -3.58168102e-04
  4.50000000e+01   1.54337763e-03
  4.60000000e+01   5.02209842e-04
  4.70000000e+01   1.84174733e-03
  4.80000000e+01   1.18812897e-03
  4.90000000e+01   6.19299100e-04
