# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.50129334e-01   3.49765181e-04   4.04801774e-01   7.50042883e-04   1.58133929e+00   4.65888197e-03   5.45201142e-01   2.30666978e-03
  2.00000000e+00   4.00538382e-01   3.44461626e-04   3.20466497e-01   6.73262633e-04   1.30544714e+00   4.09473966e-03   3.83529263e-01   1.91513970e-03
  3.00000000e+00   3.56611878e-01   3.35742294e-04   2.54017998e-01   6.00364979e-04   1.09111131e+00   3.59486576e-03   2.70290497e-01   1.58237807e-03
  4.00000000e+00   3.17731957e-01   3.25297002e-04   2.01704796e-01   5.36901031e-04   9.22631117e-01   3.17176118e-03   1.91169612e-01   1.31224737e-03
  5.00000000e+00   2.83328584e-01   3.14397520e-04   1.60413225e-01   4.81221427e-04   7.88022440e-01   2.81196535e-03   1.35651247e-01   1.09673160e-03
  6.00000000e+00   2.52945035e-01   3.05358932e-04   1.27895429e-01   4.33625163e-04   6.79179602e-01   2.50274292e-03   9.67090700e-02   9.20636642e-04
  7.00000000e+00   2.26175920e-01   2.96871930e-04   1.02304994e-01   3.91582063e-04   5.90063345e-01   2.23429366e-03   6.92242683e-02   7.72511212e-04
  8.00000000e+00   2.02643882e-01   2.89991103e-04   8.21720415e-02   3.57092356e-04   5.16408274e-01   2.00584634e-03   4.97249269e-02   6.49443371e-04
  9.00000000e+00   1.82007064e-01   2.85016740e-04   6.63123970e-02   3.31639483e-04   4.55029401e-01   1.82749882e-03   3.58848462e-02   5.62562168e-04
  1.00000000e+01   1.63945982e-01   2.82884634e-04   5.38083279e-02   3.11425370e-04   4.03761204e-01   1.69661411e-03   2.61518908e-02   5.11053169e-04
  1.10000000e+01   1.48223522e-01   2.83290635e-04   4.40366029e-02   2.96307087e-04   3.60833995e-01   1.58689606e-03   1.94525085e-02   4.66958397e-04
  1.20000000e+01   1.34596414e-01   2.85477191e-04   3.63421408e-02   2.84183873e-04   3.24720828e-01   1.50010486e-03   1.45989190e-02   4.29074131e-04
  1.30000000e+01   1.22859168e-01   2.89317202e-04   3.02568565e-02   2.74687636e-04   2.94314750e-01   1.43034593e-03   1.12255850e-02   4.01730492e-04
  1.40000000e+01   1.12882117e-01   2.96305996e-04   2.55887621e-02   2.67458358e-04   2.69118007e-01   1.37401339e-03   8.87402383e-03   3.76908151e-04
  1.50000000e+01   1.04513482e-01   3.04855015e-04   2.19463339e-02   2.63791127e-04   2.48180785e-01   1.33336206e-03   7.14030877e-03   3.63036626e-04
  1.60000000e+01   9.76339363e-02   3.14967910e-04   1.90945803e-02   2.65446772e-04   2.31023216e-01   1.31635451e-03   5.82798753e-03   3.57529935e-04
  1.70000000e+01   9.21456199e-02   3.26332587e-04   1.69939017e-02   2.70576571e-04   2.17516290e-01   1.32021829e-03   4.95739340e-03   3.60213437e-04
  1.80000000e+01   8.79676786e-02   3.37048602e-04   1.54930655e-02   2.78855356e-04   2.07270814e-01   1.33276140e-03   4.26562835e-03   3.72319384e-04
  1.90000000e+01   8.50068110e-02   3.45602165e-04   1.44713218e-02   2.87460704e-04   2.00117512e-01   1.34807202e-03   3.83316101e-03   3.84873283e-04
  2.00000000e+01   8.32223582e-02   3.52213171e-04   1.38866383e-02   2.96631902e-04   1.95887302e-01   1.36510289e-03   3.71093245e-03   4.01745074e-04
  2.10000000e+01   8.26209912e-02   3.54934720e-04   1.36969524e-02   3.02967844e-04   1.94500930e-01   1.37465107e-03   3.70105775e-03   4.10555169e-04
