# observable  mean  sigma_blocking
y  3.16442460e-04  4.58923465e-04
y2  5.06088381e-01  3.52593344e-04
y3  9.02029304e-04  7.74197635e-04
A  4.27365614e-04  3.34789320e-04
E  5.04580910e-01  9.07105628e-04
