# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.80492959e-01   8.15059641e-04   1.96240600e+00   2.57761906e-03   1.61050275e+00   2.61171499e-03   2.95460655e+00   8.09280428e-03
  2.00000000e+00   9.75757297e-01   8.77088054e-04   1.95192997e+00   2.99653118e-03   1.50653070e+00   2.81524445e-03   2.93931650e+00   9.84771845e-03
  3.00000000e+00   9.69695090e-01   9.92383331e-04   1.93703917e+00   3.57496424e-03   1.40886908e+00   3.01815820e-03   2.90922447e+00   1.21340551e-02
  4.00000000e+00   9.62646924e-01   1.13528762e-03   1.92403749e+00   4.22964605e-03   1.32470462e+00   3.26407802e-03   2.88182023e+00   1.51950978e-02
  5.00000000e+00   9.52854727e-01   1.30620353e-03   1.90293748e+00   4.99724100e-03   1.24858411e+00   3.36200404e-03   2.84239242e+00   1.82758984e-02
  6.00000000e+00   9.39616530e-01   1.47315265e-03   1.87533764e+00   5.85979193e-03   1.18150793e+00   3.55141595e-03   2.80858798e+00   2.17698435e-02
  7.00000000e+00   9.22848697e-01   1.68181473e-03   1.84080434e+00   6.90184286e-03   1.11999060e+00   3.86341424e-03   2.77909942e+00   2.68510076e-02
  8.00000000e+00   9.02199166e-01   1.89922713e-03   1.80128136e+00   8.49712010e-03   1.06289944e+00   4.21184800e-03   2.74000693e+00   3.51282388e-02
  9.00000000e+00   8.77871462e-01   2.17465908e-03   1.75516838e+00   1.01152878e-02   1.00412266e+00   4.67081174e-03   2.65770685e+00   4.81084339e-02
  1.00000000e+01   8.46850853e-01   2.48937854e-03   1.68341951e+00   1.20268236e-02   9.44207204e-01   5.00800576e-03   2.48594270e+00   5.67610188e-02
  1.10000000e+01   8.10101366e-01   2.78904384e-03   1.61316295e+00   1.41161447e-02   8.85798358e-01   5.42911559e-03   2.41104109e+00   7.16529599e-02
  1.20000000e+01   7.66433235e-01   3.05336167e-03   1.53934337e+00   1.63156484e-02   8.25854809e-01   5.70873737e-03   2.20711810e+00   8.51550163e-02
  1.30000000e+01   7.11435160e-01   3.39906587e-03   1.40758429e+00   1.81923676e-02   7.51798336e-01   6.05749545e-03   1.97456691e+00   1.02150590e-01
  1.40000000e+01   6.47035084e-01   3.61103461e-03   1.28984678e+00   2.12977229e-02   6.80337192e-01   6.37172834e-03   1.82593094e+00   1.25933237e-01
  1.50000000e+01   5.71963895e-01   3.73796539e-03   1.16924298e+00   2.45895078e-02   6.01769662e-01   6.83499227e-03   1.70591311e+00   1.53546961e-01
  1.60000000e+01   4.85981922e-01   3.72146672e-03   9.79020141e-01   2.65011464e-02   5.06053516e-01   7.01554135e-03   1.35905676e+00   1.76452365e-01
  1.70000000e+01   3.89765831e-01   3.54448530e-03   7.76681254e-01   2.88432661e-02   4.05279250e-01   6.95590986e-03   1.26245126e+00   2.07126908e-01
  1.80000000e+01   2.87599837e-01   3.15600621e-03   5.73079016e-01   2.81889311e-02   2.95020308e-01   6.69924839e-03   8.97968467e-01   2.12912028e-01
  1.90000000e+01   1.78208886e-01   2.52798090e-03   3.46431220e-01   2.54262761e-02   1.79468099e-01   6.14164518e-03   2.72222824e-01   1.92030576e-01
  2.00000000e+01   6.09189990e-02   1.39751921e-03   1.15531632e-01   1.66361815e-02   5.96615198e-02   3.96232317e-03   2.23845766e-02   1.32696954e-01
