# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58802418e-04   3.37672622e-04   7.73932133e-04   3.37837701e-04   8.86357961e-04
  2.00000000e+00   4.61549447e-04   3.48309129e-04   7.78401130e-04   3.38747024e-04   8.89771606e-04
  4.00000000e+00   4.64948962e-04   3.57283130e-04   7.82647770e-04   3.39039281e-04   8.92700959e-04
  8.00000000e+00   4.65934312e-04   3.62513350e-04   7.84074548e-04   3.38797852e-04   8.92878099e-04
  1.60000000e+01   4.66783363e-04   3.64611712e-04   7.87370113e-04   3.39067831e-04   8.95219852e-04
  3.20000000e+01   4.67272648e-04   3.65955634e-04   7.90579666e-04   3.41168108e-04   8.92867381e-04
  6.40000000e+01   4.65312376e-04   3.66074678e-04   7.86141716e-04   3.40614728e-04   8.93684677e-04
  1.28000000e+02   4.67102310e-04   3.66888458e-04   7.91736685e-04   3.41409229e-04   8.93953378e-04
  2.56000000e+02   4.62953557e-04   3.66814494e-04   7.85841914e-04   3.36933999e-04   8.97489952e-04
  5.12000000e+02   4.58923465e-04   3.52593344e-04   7.74197635e-04   3.34789320e-04   9.07105628e-04
  1.02400000e+03   4.56599340e-04   3.51131366e-04   7.61421074e-04   3.40427502e-04   9.33361669e-04
  2.04800000e+03   4.39791235e-04   3.51437194e-04   7.35922808e-04   3.38431083e-04   9.23324253e-04
  4.09600000e+03   4.23172894e-04   3.39001451e-04   7.03658922e-04   3.53159399e-04   8.98377995e-04
  8.19200000e+03   4.32767369e-04   3.55221168e-04   7.30268158e-04   3.63665883e-04   8.89613456e-04
  1.63840000e+04   4.19048307e-04   3.53892196e-04   7.02795316e-04   3.66225757e-04   8.04983435e-04
  3.27680000e+04   4.76684807e-04   2.79328496e-04   7.52710296e-04   3.32979125e-04   8.37936215e-04
  6.55360000e+04   5.20503509e-04   2.78535181e-04   8.33696658e-04   3.14500533e-04   8.12294913e-04
  1.31072000e+05   5.50645083e-04   3.04002274e-04   8.88279235e-04   3.31392250e-04   6.32374880e-04
