# k  sigma_yc_n1  sigma_yc_n5  sigma_yc_n10  sigma_y2c_n1  sigma_y2c_n5  sigma_y2c_n10  sigma_y3c_n1  sigma_y3c_n5  sigma_y3c_n10  sigma_Ac_n1  sigma_Ac_n5  sigma_Ac_n10
  1.00000000e+00   3.31554644e-04   3.08724607e-04   2.96767809e-04   6.54448552e-04   4.30137122e-04   2.93277147e-04   3.98097656e-03   2.46854356e-03   1.59785227e-03   1.87589603e-03   9.08078727e-04   4.61342667e-04
  2.00000000e+00   3.41193395e-04   3.12723003e-04   2.96998716e-04   6.67672101e-04   4.33434776e-04   2.93822742e-04   4.05057261e-03   2.49662397e-03   1.60141581e-03   1.89219950e-03   9.10177160e-04   4.61637406e-04
  4.00000000e+00   3.49419018e-04   3.16599378e-04   2.97851392e-04   6.78269379e-04   4.36147293e-04   2.93825853e-04   4.10837145e-03   2.52003735e-03   1.60415259e-03   1.90812328e-03   9.12686556e-04   4.61487650e-04
  8.00000000e+00   3.54221410e-04   3.18603889e-04   2.97890379e-04   6.84698747e-04   4.37814717e-04   2.93881588e-04   4.13969439e-03   2.53274993e-03   1.60492585e-03   1.91311661e-03   9.12668873e-04   4.61158938e-04
  1.60000000e+01   3.56143991e-04   3.19732191e-04   2.98628267e-04   6.85597937e-04   4.37708812e-04   2.93212909e-04   4.14480892e-03   2.53521836e-03   1.60356663e-03   1.91308728e-03   9.12459971e-04   4.60129982e-04
  3.20000000e+01   3.57523319e-04   3.20094781e-04   2.99187190e-04   6.86917230e-04   4.37239793e-04   2.93165666e-04   4.14965600e-03   2.53520711e-03   1.60669321e-03   1.91224914e-03   9.11658817e-04   4.60764197e-04
  6.40000000e+01   3.57686682e-04   3.19997242e-04   2.99474961e-04   6.87931835e-04   4.36953507e-04   2.93402663e-04   4.15347743e-03   2.53188795e-03   1.60620403e-03   1.91230434e-03   9.09131275e-04   4.60871934e-04
  1.28000000e+02   3.58409932e-04   3.20415551e-04   2.98376562e-04   6.88450284e-04   4.35015011e-04   2.92660498e-04   4.15105937e-03   2.52308237e-03   1.59878100e-03   1.90638238e-03   9.02460421e-04   4.57805532e-04
  2.56000000e+02   3.58034368e-04   3.17488320e-04   2.94354830e-04   6.89104299e-04   4.33796738e-04   2.91609794e-04   4.15769510e-03   2.52176017e-03   1.59501618e-03   1.90765536e-03   9.01304898e-04   4.58401272e-04
  5.12000000e+02   3.44088845e-04   3.07683391e-04   2.92360423e-04   6.75866875e-04   4.31306658e-04   2.95883531e-04   4.12573767e-03   2.51168307e-03   1.60395571e-03   1.92711016e-03   9.12724020e-04   4.63426886e-04
  1.02400000e+03   3.42866024e-04   3.06109153e-04   2.87932289e-04   6.84038788e-04   4.43437700e-04   2.99745603e-04   4.17147617e-03   2.56382054e-03   1.61344725e-03   1.95455632e-03   9.39424928e-04   4.61219656e-04
  2.04800000e+03   3.44304780e-04   3.08578474e-04   2.90826770e-04   6.76747348e-04   4.48837462e-04   3.05024585e-04   4.16097367e-03   2.58032271e-03   1.62125441e-03   1.98328532e-03   9.58949334e-04   4.65737910e-04
  4.09600000e+03   3.32022053e-04   3.05214724e-04   2.92829568e-04   6.77407264e-04   4.52470103e-04   3.16649846e-04   4.19738629e-03   2.63034552e-03   1.68608392e-03   1.98918234e-03   9.89972025e-04   4.80596605e-04
  8.19200000e+03   3.48814724e-04   3.19657095e-04   3.02648375e-04   7.13145815e-04   4.71366165e-04   3.24715438e-04   4.43403250e-03   2.77432787e-03   1.76315703e-03   2.05605265e-03   1.00411769e-03   4.97995770e-04
  1.63840000e+04   3.50960770e-04   3.24539231e-04   3.03867913e-04   7.17969417e-04   4.65951797e-04   3.10066682e-04   4.49374031e-03   2.74627811e-03   1.71907191e-03   2.09281899e-03   9.82241585e-04   4.88151657e-04
  3.27680000e+04   2.79394191e-04   2.92762542e-04   3.20251532e-04   6.85310859e-04   4.54425101e-04   3.31865279e-04   4.52028657e-03   2.65480107e-03   1.69917941e-03   2.27427951e-03   9.88917856e-04   4.42471976e-04
  6.55360000e+04   2.76863131e-04   2.96176287e-04   3.12854146e-04   7.04580440e-04   4.88296280e-04   3.07650635e-04   4.56713221e-03   2.79333290e-03   1.69667485e-03   2.27686470e-03   1.04610334e-03   4.56112119e-04
  1.31072000e+05   2.94580586e-04   2.99295294e-04   3.08777525e-04   7.98829786e-04   4.53755826e-04   2.86649147e-04   5.26394214e-03   2.73693403e-03   1.53708270e-03   2.53579039e-03   8.27681316e-04   4.47471751e-04
