# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.94697452e-01   1.71795242e-03   1.99430115e+00   5.36995997e-03   1.53291283e+00   4.88955729e-03   2.98399170e+00   1.69970513e-02
  2.00000000e+00   9.94999176e-01   2.23669969e-03   1.99719290e+00   6.62515260e-03   1.39287594e+00   4.87899766e-03   2.98310799e+00   2.39940613e-02
  3.00000000e+00   9.94827706e-01   2.71058354e-03   1.99438596e+00   9.03033859e-03   1.27489063e+00   5.74418152e-03   2.94126420e+00   3.62286846e-02
  4.00000000e+00   9.95208192e-01   3.12070095e-03   1.99701785e+00   1.20669414e-02   1.19830389e+00   6.70122569e-03   2.94545276e+00   5.37957762e-02
  5.00000000e+00   9.94804197e-01   3.67749509e-03   1.97145462e+00   1.57297150e-02   1.12980236e+00   7.49354128e-03   2.85176528e+00   6.96970449e-02
  6.00000000e+00   9.95146552e-01   4.02395496e-03   1.98893987e+00   2.12950940e-02   1.08840913e+00   8.44086027e-03   2.79279850e+00   1.02086065e-01
  7.00000000e+00   9.95165146e-01   4.69837800e-03   2.00319037e+00   3.13209119e-02   1.06693381e+00   8.73591387e-03   2.75931077e+00   1.70541499e-01
  8.00000000e+00   1.00471930e+00   5.83879931e-03   1.96343234e+00   5.00165098e-02   1.05482426e+00   1.20463364e-02   2.64167732e+00   2.71899486e-01
  9.00000000e+00   1.00014440e+00   7.35989765e-03   1.94477697e+00   6.09330225e-02   1.03764517e+00   1.40812028e-02   2.79251157e+00   4.53506936e-01
  1.00000000e+01   9.99442462e-01   9.06136474e-03   1.86286352e+00   8.72751308e-02   1.01793915e+00   1.57875834e-02   2.06444109e+00   6.88658294e-01
  1.10000000e+01   1.00322216e+00   1.11497802e-02   1.91132242e+00   1.26365852e-01   1.01484907e+00   1.81938809e-02   2.99732628e+00   1.28418754e+00
  1.20000000e+01   9.85011216e-01   1.43758763e-02   1.81152581e+00   2.11267955e-01   9.81288889e-01   2.56454267e-02   4.95260850e+00   4.12743417e+00
  1.30000000e+01   9.88466774e-01   1.65666401e-02   1.45462160e+00   2.74747081e-01   9.54436171e-01   2.44621509e-02   7.77039789e+00   2.15699712e+01
  1.40000000e+01   9.86907616e-01   2.03590782e-02   1.48285124e+00   3.35574529e-01   9.98674373e-01   2.97069400e-02  -1.88402574e+01   1.14829182e+01
  1.50000000e+01   9.80377789e-01   2.26836978e-02   1.59248089e+00   4.81591654e-01   9.64440767e-01   3.66810109e-02  -1.17690879e+00   1.85487890e+00
  1.60000000e+01   9.86268951e-01   2.77409421e-02   2.41964740e+00   9.03226858e-01   9.98485553e-01   4.51796325e-02   3.03667733e+00   2.96280652e+00
  1.70000000e+01   9.57925110e-01   3.60611724e-02   1.98135838e+00   1.15227613e+00   1.00204457e+00   5.91210257e-02   3.51401760e+00   6.72137742e+00
  1.80000000e+01   9.78723962e-01   4.17135848e-02   2.87729728e+00   2.31615477e+00   1.10309902e+00   7.49967293e-02   1.28363412e+01   2.86897903e+01
  1.90000000e+01   9.66969920e-01   5.06021617e-02   9.74604242e-01   1.91718753e+00   9.09163253e-01   8.16602824e-02  -1.33391547e+01   4.00110250e+01
  2.00000000e+01   9.85757766e-01   6.37503981e-02  -8.87286094e-01   2.18221212e+00   9.18832612e-01   1.05184984e-01  -2.58030389e+00   3.05626852e+00
  2.10000000e+01   9.36044177e-01   7.49270514e-02   1.04872435e+00   2.14300358e+00   9.30551336e-01   1.18019919e-01  -2.60697200e-01   1.72999860e+00
  2.20000000e+01   8.79760897e-01   9.52882821e-02   3.11506566e+00   5.38674362e+00   1.06626300e+00   1.57980564e-01   1.77163290e+00   2.44105693e+00
  2.30000000e+01   8.90894759e-01   1.12239421e-01   1.76245460e-01   4.16126410e+00   8.03137876e-01   1.79530575e-01  -1.11274932e+00   2.20842602e+00
  2.40000000e+01   7.61076203e-01   1.23768459e-01   1.58892326e+00   7.20798558e+00   9.52496914e-01   2.35312290e-01   2.71195123e+00   3.82507826e+00
  2.50000000e+01   7.12804156e-01   1.35049970e-01  -2.55001496e-01   5.07610137e+00   1.03758990e+00   2.95422790e-01   1.40148113e+00   4.27087828e+00
  2.60000000e+01   6.24921391e-01   1.45128203e-01   2.31726732e+00   1.65986841e+01   9.72761594e-01   3.15213682e-01   1.87824781e+01   2.21298779e+01
  2.70000000e+01   5.71360714e-01   1.65311758e-01  -5.88255104e+00   2.04201853e+01   3.43482332e-01   3.71622188e-01  -6.31225197e+00   5.10492338e+01
  2.80000000e+01   7.57177368e-01   2.08181838e-01  -3.61504469e+00   4.12811622e+00   8.40081962e-01   4.65065068e-01  -6.84316413e-03   2.67675465e+01
  2.90000000e+01   8.37853263e-01   2.59315777e-01  -2.05038039e+00   1.62673381e+00   6.38576154e-01   4.37848635e-01  -3.75356863e+00   2.05193954e+01
  3.00000000e+01   9.48078069e-01   3.30378106e-01  -1.67595156e+00   8.99091817e-01   8.29228331e-01   6.04413379e-01  -1.62919209e+01   0.00000000e+00
  3.10000000e+01   7.98728097e-01   3.75228305e-01  -3.64355818e-01   6.51637044e-01   2.21048325e-01   5.85744299e-01   2.67475851e-02   9.08007655e+00
  3.20000000e+01   8.13159147e-01   3.88387264e-01  -3.05405949e-01   5.88342719e-01   1.01255912e+00   7.11101999e-01  -9.49556351e-01   9.63495841e+00
  3.30000000e+01   8.08095524e-01   4.79921757e-01   5.97585568e-01   6.00586147e-01   4.64948388e-01   7.43357486e-01   4.21245373e+00   2.02224726e+01
  3.40000000e+01   1.01599325e+00   6.83069903e-01  -2.40876119e-01   5.95416106e-01   2.40318272e+00   2.00695892e+00  -7.53349805e+00   2.51029991e+01
  3.50000000e+01   1.05567292e+00   7.74202491e-01   4.65289654e-01   6.66402731e-01   1.63419630e+00   2.41766433e+00  -8.83628576e-01   3.65698393e+00
  3.60000000e+01   6.31444026e-01   8.30296199e-01   5.81922351e-01   6.48575564e-01  -1.27597262e-01   1.77641530e+00   7.89025735e-03   3.04500068e+00
  3.70000000e+01   2.27768326e-01   6.97611260e-01   2.71461826e+00   1.65393129e+00  -3.11955743e+00   3.07034872e+00              nan   0.00000000e+00
  3.80000000e+01  -2.75584729e-01   6.95323294e-01   3.86488417e+00   4.20971182e+00  -1.93902268e+00   1.29202806e+00  -7.42189957e+00   1.12686486e+01
  3.90000000e+01  -7.12156897e-01   7.34659137e-01   9.02578208e+00   3.26413914e+01  -1.73782462e-01   6.04410546e-01   2.15192040e+00   2.36999610e+00
  4.00000000e+01  -4.93749127e-01   5.70121711e-01  -1.27866257e+01   1.29642481e+01   1.58532869e-01   5.96346922e-01  -6.92453724e-01   2.70137242e+00
  4.10000000e+01  -3.95663048e-02   4.51769140e-01  -4.57758153e+00   1.04209447e+01   1.25786382e+00   1.04136567e+00   8.04040504e+00   3.14693972e+01
