# observable  mean  sigma_blocking
y  7.01238902e-04  6.97726226e-04
y2  4.98755609e-01  6.58404754e-04
y3  7.99260225e-04  1.12901218e-03
A  -2.52598127e-04  4.70999730e-04
E  4.97266757e-01  1.02990667e-03
