# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   7.29237948e-04   5.17537318e-04   1.20818210e-03   5.21967956e-04   1.02546798e-03
  2.00000000e+00   6.98190754e-04   5.62912880e-04   1.16335091e-03   5.17685214e-04   1.03157011e-03
  4.00000000e+00   6.89360794e-04   6.00227351e-04   1.14907863e-03   5.14766430e-04   1.03592128e-03
  8.00000000e+00   6.87413201e-04   6.24433557e-04   1.15131365e-03   5.13538094e-04   1.04059894e-03
  1.60000000e+01   6.89622269e-04   6.43840431e-04   1.15942782e-03   5.11968331e-04   1.04551425e-03
  3.20000000e+01   6.99408739e-04   6.49345638e-04   1.16879387e-03   5.09814376e-04   1.05585342e-03
  6.40000000e+01   7.04975851e-04   6.54155254e-04   1.17525211e-03   5.08948439e-04   1.04621178e-03
  1.28000000e+02   7.20820188e-04   6.72777964e-04   1.19750260e-03   5.21392962e-04   1.02709488e-03
  2.56000000e+02   7.05298260e-04   6.66852990e-04   1.15344835e-03   5.33822729e-04   1.04883663e-03
  5.12000000e+02   6.97726226e-04   6.58404754e-04   1.12901218e-03   4.70999730e-04   1.02990667e-03
  1.02400000e+03   7.01770007e-04   5.96016832e-04   1.14945313e-03   4.37571404e-04   1.07087252e-03
  2.04800000e+03   6.78485319e-04   5.27548313e-04   1.12522401e-03   4.58052919e-04   1.19522926e-03
  4.09600000e+03   7.53423068e-04   6.05585920e-04   1.25520697e-03   4.82103711e-04   1.14505488e-03
  8.19200000e+03   6.92124731e-04   7.68975254e-04   1.07970478e-03   4.35068596e-04   1.03236330e-03
  1.63840000e+04   5.93981752e-04   5.99653933e-04   7.19370366e-04   3.78316551e-04   1.13435253e-03
