# k  sigma_yc_n1  sigma_yc_n12  sigma_yc_n25  sigma_y2c_n1  sigma_y2c_n12  sigma_y2c_n25  sigma_y3c_n1  sigma_y3c_n12  sigma_y3c_n25  sigma_Ac_n1  sigma_Ac_n12  sigma_Ac_n25
  1.00000000e+00   4.91918028e-04   3.74789555e-04   3.65993366e-04   8.59624193e-04   2.76339504e-04   2.60585868e-04   5.14621129e-03   1.25716326e-03   1.10111039e-03   2.29901086e-03   3.52010417e-04   3.19612804e-04
  2.00000000e+00   5.36727151e-04   3.96244071e-04   3.91338793e-04   9.08732488e-04   2.77226878e-04   2.61767595e-04   5.40988649e-03   1.30061518e-03   1.14202261e-03   2.36291922e-03   3.52301603e-04   3.19260409e-04
  4.00000000e+00   5.72852728e-04   4.13017658e-04   4.11328294e-04   9.53342939e-04   2.77119384e-04   2.63312303e-04   5.64568621e-03   1.33948009e-03   1.17922157e-03   2.41748745e-03   3.55806561e-04   3.19653023e-04
  8.00000000e+00   5.96278361e-04   4.23799916e-04   4.22158516e-04   9.74896302e-04   2.79970536e-04   2.63201951e-04   5.76070095e-03   1.36496432e-03   1.19560888e-03   2.43598939e-03   3.57340687e-04   3.20519174e-04
  1.60000000e+01   6.14776080e-04   4.24810713e-04   4.27368072e-04   9.94396860e-04   2.78222714e-04   2.62093494e-04   5.87831370e-03   1.37798876e-03   1.19861980e-03   2.46449006e-03   3.62053059e-04   3.20483742e-04
  3.20000000e+01   6.19830439e-04   4.20787659e-04   4.31837488e-04   9.97611838e-04   2.78779882e-04   2.59714234e-04   5.90088898e-03   1.39405313e-03   1.20085301e-03   2.46397582e-03   3.64828694e-04   3.16877623e-04
  6.40000000e+01   6.25188621e-04   4.29194393e-04   4.29167910e-04   9.85489748e-04   2.78140735e-04   2.56417824e-04   5.83532116e-03   1.40657586e-03   1.20840238e-03   2.43694935e-03   3.58219122e-04   3.18112384e-04
  1.28000000e+02   6.45774111e-04   4.25493840e-04   4.24610100e-04   1.01140891e-03   2.83141362e-04   2.57145423e-04   5.95203496e-03   1.38155140e-03   1.18547800e-03   2.46421326e-03   3.54512713e-04   3.30747738e-04
  2.56000000e+02   6.39628216e-04   4.20444087e-04   4.18845671e-04   1.01830582e-03   2.79371455e-04   2.48537329e-04   5.96828558e-03   1.37446667e-03   1.20570904e-03   2.44895381e-03   3.65591593e-04   3.41836740e-04
  5.12000000e+02   6.36091668e-04   4.25430232e-04   3.83008216e-04   1.00231435e-03   2.93004397e-04   2.43380449e-04   5.97497540e-03   1.43199837e-03   1.16106100e-03   2.50823108e-03   3.81738347e-04   3.29111974e-04
  1.02400000e+03   5.74782849e-04   4.68642471e-04   4.06548163e-04   9.11928732e-04   2.84664546e-04   2.40730778e-04   5.48557637e-03   1.41488065e-03   1.19254031e-03   2.44115093e-03   3.66101920e-04   3.18189784e-04
  2.04800000e+03   5.31100523e-04   4.75961285e-04   4.19119723e-04   8.41684224e-04   2.58944602e-04   2.40813391e-04   4.94168956e-03   1.28264782e-03   1.23843293e-03   2.27048674e-03   3.88391410e-04   2.85238439e-04
  4.09600000e+03   6.26369324e-04   4.80270252e-04   4.00342672e-04   7.14270536e-04   2.90823462e-04   2.71105109e-04   4.17298384e-03   1.11519695e-03   1.25060209e-03   2.00894948e-03   4.01134014e-04   2.37695218e-04
  8.19200000e+03   8.01272037e-04   5.81485031e-04   3.43084645e-04   8.33896475e-04   2.03117326e-04   3.16231888e-04   4.78504128e-03   1.19782176e-03   9.70049207e-04   2.25404048e-03   3.37673332e-04   2.31081480e-04
  1.63840000e+04   5.47909515e-04   7.63062262e-04   4.53440761e-04   5.46595593e-04   2.44142849e-04   4.07584635e-04   3.24616768e-03   1.72127386e-03   1.30188307e-03   1.24630545e-03   3.56511952e-04   3.63190039e-04
