# observable  mean  sigma_blocking
y  1.25242294e-04  3.29092858e-04
y2  4.95173573e-01  2.32819071e-04
y3  8.35215612e-04  5.41538981e-04
A  6.47352170e-04  2.28771020e-04
E  4.94860763e-01  3.75952664e-04
