# k  sigma_yc_n1  sigma_yc_n4  sigma_yc_n9  sigma_y2c_n1  sigma_y2c_n4  sigma_y2c_n9  sigma_y3c_n1  sigma_y3c_n4  sigma_y3c_n9  sigma_Ac_n1  sigma_Ac_n4  sigma_Ac_n9
  1.00000000e+00   2.11633763e-04   1.81241649e-04   1.70062330e-04   3.23293004e-04   1.68560762e-04   1.21916255e-04   1.85105945e-03   8.96166928e-04   5.49741539e-04   7.27428119e-04   2.59278402e-04   1.67341034e-04
  2.00000000e+00   2.13526598e-04   1.81691919e-04   1.70436156e-04   3.24880847e-04   1.68488979e-04   1.22024405e-04   1.86090160e-03   8.98113132e-04   5.49784479e-04   7.28516203e-04   2.59155268e-04   1.67373489e-04
  4.00000000e+00   2.14648510e-04   1.82238003e-04   1.70330339e-04   3.25801217e-04   1.68398418e-04   1.21827566e-04   1.86714683e-03   8.99522773e-04   5.49102969e-04   7.30018320e-04   2.58887147e-04   1.67222641e-04
  8.00000000e+00   2.15226336e-04   1.82162020e-04   1.70048392e-04   3.26159083e-04   1.68194319e-04   1.21835233e-04   1.87014313e-03   8.99321178e-04   5.48402189e-04   7.31365736e-04   2.58498551e-04   1.67886642e-04
  1.60000000e+01   2.15534421e-04   1.82473339e-04   1.70309952e-04   3.25802060e-04   1.68098760e-04   1.22097989e-04   1.86839071e-03   8.98943358e-04   5.49324111e-04   7.29622531e-04   2.58126581e-04   1.68050122e-04
  3.20000000e+01   2.15975739e-04   1.83153347e-04   1.71012045e-04   3.26261722e-04   1.68391487e-04   1.22192032e-04   1.86975491e-03   9.01923402e-04   5.50063350e-04   7.30316604e-04   2.59370179e-04   1.68091774e-04
  6.40000000e+01   2.17402674e-04   1.83684569e-04   1.70978501e-04   3.26871144e-04   1.68233709e-04   1.21800733e-04   1.86908829e-03   9.03454365e-04   5.51838779e-04   7.27762290e-04   2.59238225e-04   1.68242042e-04
  1.28000000e+02   2.16809501e-04   1.83890583e-04   1.72932386e-04   3.26551590e-04   1.68460483e-04   1.21395547e-04   1.86754404e-03   9.09318375e-04   5.54872491e-04   7.31334263e-04   2.59245695e-04   1.67542518e-04
  2.56000000e+02   2.17578196e-04   1.85537730e-04   1.74210468e-04   3.26887462e-04   1.70255238e-04   1.21818314e-04   1.86496531e-03   9.14150501e-04   5.56030046e-04   7.25941018e-04   2.63618424e-04   1.67503594e-04
  5.12000000e+02   2.13287732e-04   1.82418406e-04   1.75002067e-04   3.22542070e-04   1.71674138e-04   1.23047631e-04   1.84862464e-03   9.16969993e-04   5.55463107e-04   7.23563789e-04   2.67329541e-04   1.66282732e-04
  1.02400000e+03   2.16460422e-04   1.85819749e-04   1.75249665e-04   3.24324665e-04   1.71273091e-04   1.19674523e-04   1.85692586e-03   9.25914478e-04   5.64850330e-04   7.27080331e-04   2.67653707e-04   1.68186017e-04
  2.04800000e+03   2.09986333e-04   1.79811077e-04   1.70783767e-04   3.16340948e-04   1.70896844e-04   1.20167449e-04   1.79935405e-03   9.01422046e-04   5.31559823e-04   7.03024080e-04   2.65266554e-04   1.67534724e-04
  4.09600000e+03   2.03130163e-04   1.78190682e-04   1.68505788e-04   3.12309394e-04   1.77415728e-04   1.17757637e-04   1.78502111e-03   8.98426196e-04   5.30887435e-04   7.11906379e-04   2.68643301e-04   1.62224749e-04
  8.19200000e+03   1.99701188e-04   1.73003319e-04   1.59768243e-04   3.36392190e-04   1.78408001e-04   1.13829254e-04   1.92427725e-03   9.34945398e-04   5.33636484e-04   7.68301746e-04   2.93536033e-04   1.60690305e-04
  1.63840000e+04   2.08679964e-04   1.88072751e-04   1.53621776e-04   3.41018339e-04   1.82191403e-04   1.17125062e-04   1.94075149e-03   9.10272243e-04   5.03279338e-04   7.90465822e-04   2.93226255e-04   1.55671252e-04
  3.27680000e+04   1.65261227e-04   1.64891583e-04   1.60407341e-04   3.25220624e-04   1.67786961e-04   1.22028800e-04   1.85686436e-03   7.70607226e-04   4.89586282e-04   7.73663681e-04   2.00235598e-04   1.46619081e-04
  6.55360000e+04   1.51244588e-04   1.70650899e-04   1.55186486e-04   3.57758277e-04   1.61298163e-04   1.24324334e-04   1.97670142e-03   7.96593089e-04   5.01422721e-04   8.35427204e-04   2.11852675e-04   1.44875104e-04
  1.31072000e+05   1.54472004e-04   1.75538958e-04   1.18841982e-04   3.16820898e-04   1.40745595e-04   1.23816741e-04   1.68669854e-03   5.64939354e-04   5.74736829e-04   8.06513651e-04   1.83178274e-04   1.55547415e-04
