# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24276084e-04   2.30370178e-04   5.34634924e-04   2.32545771e-04   3.71942156e-04
  2.00000000e+00   3.26173088e-04   2.32747812e-04   5.36969167e-04   2.32558442e-04   3.72096002e-04
  4.00000000e+00   3.27277487e-04   2.33991159e-04   5.38171416e-04   2.31966515e-04   3.72271679e-04
  8.00000000e+00   3.27533888e-04   2.34817879e-04   5.39443244e-04   2.32096068e-04   3.72283698e-04
  1.60000000e+01   3.27341737e-04   2.35167640e-04   5.39148974e-04   2.32191821e-04   3.71580513e-04
  3.20000000e+01   3.26758002e-04   2.35250406e-04   5.39045346e-04   2.33361591e-04   3.71508184e-04
  6.40000000e+01   3.27997303e-04   2.36661576e-04   5.40255914e-04   2.31484445e-04   3.71363619e-04
  1.28000000e+02   3.26137287e-04   2.35118626e-04   5.39456826e-04   2.30159108e-04   3.71602841e-04
  2.56000000e+02   3.29270758e-04   2.36026043e-04   5.42541467e-04   2.29545079e-04   3.77065294e-04
  5.12000000e+02   3.29092858e-04   2.32819071e-04   5.41538981e-04   2.28771020e-04   3.75952664e-04
  1.02400000e+03   3.42792308e-04   2.34966013e-04   5.66460002e-04   2.26979996e-04   3.81110561e-04
  2.04800000e+03   3.49362281e-04   2.29474882e-04   5.82223523e-04   2.32833042e-04   3.94070455e-04
  4.09600000e+03   3.55970044e-04   2.24279044e-04   5.81798068e-04   2.41273611e-04   3.99333267e-04
  8.19200000e+03   3.43934015e-04   2.21338722e-04   5.56566147e-04   2.24154015e-04   3.74000940e-04
  1.63840000e+04   3.55228863e-04   2.27177564e-04   5.90207903e-04   2.36709099e-04   3.51625977e-04
  3.27680000e+04   3.40789928e-04   1.79232407e-04   6.02255161e-04   2.99914379e-04   3.83998421e-04
  6.55360000e+04   3.18022832e-04   1.84234472e-04   5.55828703e-04   3.16711905e-04   3.91245587e-04
  1.31072000e+05   3.02799822e-04   1.73925293e-04   5.00987270e-04   3.57730738e-04   4.59275628e-04
