# k  sigma_yc_n1  sigma_yc_n2  sigma_yc_n4  sigma_y2c_n1  sigma_y2c_n2  sigma_y2c_n4  sigma_y3c_n1  sigma_y3c_n2  sigma_y3c_n4  sigma_Ac_n1  sigma_Ac_n2  sigma_Ac_n4
  1.00000000e+00   1.78956046e-04   1.73078152e-04   2.01803589e-04   1.59324428e-04   1.37216676e-04   1.38841809e-04   7.26197062e-04   5.49457778e-04   5.58011010e-04   2.35702559e-04   1.89206343e-04   1.84805710e-04
  2.00000000e+00   1.79001335e-04   1.73063444e-04   2.01699022e-04   1.59272986e-04   1.37253283e-04   1.38876335e-04   7.26110952e-04   5.49191340e-04   5.57834509e-04   2.35456063e-04   1.89382524e-04   1.84749821e-04
  4.00000000e+00   1.78823708e-04   1.72962064e-04   2.01946895e-04   1.58822095e-04   1.37118107e-04   1.38884276e-04   7.24588674e-04   5.49089291e-04   5.58005336e-04   2.35343094e-04   1.89343564e-04   1.84792570e-04
  8.00000000e+00   1.79095336e-04   1.73083806e-04   2.02015437e-04   1.59048537e-04   1.37097331e-04   1.39075360e-04   7.25187407e-04   5.50054501e-04   5.57916706e-04   2.35431084e-04   1.89269283e-04   1.84656756e-04
  1.60000000e+01   1.79430240e-04   1.73098091e-04   2.02122508e-04   1.59578522e-04   1.37245081e-04   1.39372085e-04   7.26262555e-04   5.50689959e-04   5.57825892e-04   2.35381805e-04   1.88637014e-04   1.84629531e-04
  3.20000000e+01   1.79682636e-04   1.73279414e-04   2.03061882e-04   1.59864168e-04   1.36705716e-04   1.39806262e-04   7.26971759e-04   5.51705145e-04   5.56429820e-04   2.35649122e-04   1.88662198e-04   1.84750859e-04
  6.40000000e+01   1.79653470e-04   1.73044265e-04   2.03607611e-04   1.59869350e-04   1.35978639e-04   1.39675646e-04   7.24678602e-04   5.50909383e-04   5.56036530e-04   2.34902289e-04   1.88722733e-04   1.84240527e-04
  1.28000000e+02   1.80634496e-04   1.72324333e-04   2.03302148e-04   1.58958061e-04   1.35912353e-04   1.39625883e-04   7.24124422e-04   5.52991575e-04   5.53048878e-04   2.33172892e-04   1.88617891e-04   1.83610620e-04
  2.56000000e+02   1.81886281e-04   1.74489550e-04   2.03985734e-04   1.58568042e-04   1.36640780e-04   1.39016999e-04   7.27862093e-04   5.60513312e-04   5.52910426e-04   2.35324234e-04   1.89104244e-04   1.83117690e-04
  5.12000000e+02   1.80463222e-04   1.69312825e-04   2.00752143e-04   1.53762596e-04   1.35935977e-04   1.39737503e-04   7.23547273e-04   5.52291874e-04   5.51504578e-04   2.33599638e-04   1.88891509e-04   1.82580405e-04
  1.02400000e+03   1.89110407e-04   1.73030197e-04   2.04818553e-04   1.58018471e-04   1.36823543e-04   1.38854947e-04   7.52904033e-04   5.66044897e-04   5.58368746e-04   2.40527564e-04   1.91370769e-04   1.77746222e-04
  2.04800000e+03   1.99292526e-04   1.75902368e-04   2.06228352e-04   1.62637716e-04   1.39644784e-04   1.32341834e-04   7.80325722e-04   5.89629842e-04   5.62430150e-04   2.39138196e-04   1.85053559e-04   1.70365145e-04
  4.09600000e+03   1.94713183e-04   1.68193632e-04   2.10422582e-04   1.55281513e-04   1.40737343e-04   1.39035394e-04   7.80971589e-04   5.82496397e-04   5.50327600e-04   2.29376813e-04   1.85231657e-04   1.69617921e-04
  8.19200000e+03   1.95741669e-04   1.66521402e-04   2.20369043e-04   1.48971027e-04   1.44669351e-04   1.40854753e-04   7.92141813e-04   6.03028854e-04   5.88148241e-04   2.45648462e-04   1.78003974e-04   1.72171021e-04
  1.63840000e+04   1.82915804e-04   1.69020042e-04   2.14504056e-04   1.53121758e-04   1.43530428e-04   1.62508242e-04   8.15713667e-04   6.22609584e-04   6.42435187e-04   2.42498313e-04   1.76256400e-04   1.75273578e-04
  3.27680000e+04   1.66431501e-04   1.43750773e-04   2.33992221e-04   1.64828095e-04   1.30194344e-04   1.52584110e-04   7.22229039e-04   5.64343324e-04   5.65081022e-04   2.12004804e-04   1.71842881e-04   1.80773939e-04
  6.55360000e+04   1.47844218e-04   1.47509856e-04   2.76033696e-04   1.88285467e-04   1.27845038e-04   1.72713256e-04   8.62341768e-04   6.30997428e-04   6.67614794e-04   1.88368798e-04   1.55933190e-04   1.86987570e-04
  1.31072000e+05   8.50061657e-05   1.23863783e-04   2.27606466e-04   1.39325865e-04   1.38578952e-04   1.95588825e-04   6.07620992e-04   3.69756405e-04   5.58925566e-04   1.56432364e-04   1.71486995e-04   2.25817270e-04
