# observable  mean  sigma_blocking
y  -4.26180156e-04  3.25618920e-04
y2  4.61542351e-01  2.40025868e-04
y3  -4.15101089e-04  5.12469550e-04
A  2.24169144e-04  2.51599750e-04
E  4.61608444e-01  1.48297628e-04
