# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.72589694e-01   1.65166713e-03   1.95365078e+00   1.00950526e-02   1.09049740e+00   3.27748904e-03   2.63817335e+00   4.58069850e-02
  2.00000000e+00   9.71459009e-01   3.54654641e-03   1.92019175e+00   4.65279708e-02   9.96725604e-01   6.83925528e-03   2.30889132e+00   2.53015070e-01
  3.00000000e+00   9.49762074e-01   8.36374819e-03   1.97217049e+00   2.33290307e-01   9.58815977e-01   1.37597495e-02   2.26967188e+00   1.60401829e+00
  4.00000000e+00   8.15702908e-01   1.88564576e-02   2.62950270e+00   2.28337316e+00   8.07346560e-01   2.99481089e-02  -4.55768820e-01   1.79683435e+00
  5.00000000e+00   3.44110301e-01   2.21686730e-02              nan   0.00000000e+00   3.65414746e-01   4.57030137e-02  -1.49173220e-02   1.71502198e+00
