# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   2.05179161e-01   2.03448369e-04   8.42137574e-02   2.51388938e-04   4.45345862e-01   1.30664914e-03   5.45621382e-02   4.66424476e-04
  2.00000000e+00   9.12307622e-02   1.84234625e-04   1.65322997e-02   1.57880091e-04   1.79487105e-01   7.23233999e-04   6.05487171e-03   2.37949569e-04
  3.00000000e+00   4.06030415e-02   1.68583173e-04   3.33728336e-03   1.39844129e-04   7.82179151e-02   5.69721300e-04   8.84096211e-04   1.89957745e-04
  4.00000000e+00   1.84004408e-02   1.73858402e-04   6.45134618e-04   1.34617823e-04   3.51802725e-02   5.11611622e-04   1.33500474e-04   1.79229563e-04
  5.00000000e+00   9.32428609e-03   2.04622493e-04   7.22563958e-05   1.41352018e-04   1.79519203e-02   5.61086071e-04   1.95078493e-04   1.79864405e-04
  6.00000000e+00   6.99967828e-03   2.40428188e-04  -2.29249297e-04   1.84977914e-04   1.32392481e-02   7.00278890e-04   1.97634863e-04   2.76911108e-04
